,板块名称,动量分值,动量排名,排名变化
0,汽车零部件,4.58,1,0.0
1,饮料制造,3.06,2,0.0
2,计算机应用,2.07,3,3.0
3,通信设备,1.99,4,0.0
4,仪器仪表,1.31,5,17.0
5,食品加工制造,1.25,6,3.0
6,传媒,1.19,7,7.0
7,中药,1.08,8,3.0
8,汽车整车,1.04,9,-6.0
9,专用设备,0.99,10,-5.0
10,电力设备,0.98,11,-4.0
11,家用轻工,0.95,12,1.0
12,半导体及元件,0.94,13,6.0
13,自动化设备,0.79,14,-4.0
14,国防军工,0.78,15,35.0
15,小家电,0.7,16,-8.0
16,消费电子,0.69,17,4.0
17,其他电子,0.68,18,20.0
18,化学制品,0.57,19,-3.0
19,钢铁,0.56,20,-8.0
20,农业服务,0.56,21,-1.0
21,厨卫电器,0.44,22,3.0
22,计算机设备,0.43,23,3.0
23,医疗器械,0.41,24,3.0
24,小金属,0.4,25,-8.0
25,包装印刷,0.35,26,29.0
26,光学光电子,0.35,27,10.0
27,电子化学品,0.3,28,5.0
28,汽车服务,0.29,29,5.0
29,通信服务,0.25,30,-6.0
30,服装家纺,0.25,31,-3.0
31,工业金属,0.25,32,-14.0
32,化工合成材料,0.24,33,-4.0
33,通用设备,0.22,34,-2.0
34,建筑材料,0.21,35,-5.0
35,互联网电商,0.21,36,5.0
36,环保,0.18,37,5.0
37,金属新材料,0.17,38,-23.0
38,建筑装饰,0.16,39,-8.0
39,化学原料,0.16,40,-5.0
40,化学制药,0.16,41,2.0
41,零售,0.13,42,14.0
42,纺织制造,0.12,43,5.0
43,煤炭开采加工,0.12,44,-21.0
44,港口航运,0.12,45,0.0
45,房地产服务,0.12,46,3.0
46,白色家电,0.11,47,-11.0
47,保险及其他,0.1,48,4.0
48,黑色家电,0.09,49,4.0
49,非汽车交运,0.09,50,-10.0
50,贵金属,0.09,51,3.0
51,造纸,0.05,52,5.0
52,教育,0.05,53,5.0
53,美容护理,0.04,54,-8.0
54,种植业与林业,0.04,55,4.0
55,石油加工贸易,0.04,56,-11.0
56,电力,0.04,57,3.0
57,养殖业,0.04,58,-14.0
58,医药商业,0.03,59,2.0
59,其他社会服务,0.03,60,-13.0
60,银行,0.02,61,1.0
61,证券,0.02,62,0.0
62,生物制品,0.02,63,0.0
63,物流,0.02,64,0.0
64,医疗服务,0.02,65,0.0
65,农产品加工,0.02,66,-27.0
66,房地产开发,0.01,67,-1.0
