,板块名称,动量分值,动量排名,排名变化
0,计算机应用,5.64,1,1.0
1,传媒,2.82,2,5.0
2,通信设备,2.65,3,3.0
3,自动化设备,2.42,4,0.0
4,专用设备,2.24,5,3.0
5,半导体及元件,2.23,6,-3.0
6,汽车零部件,2.1,7,-2.0
7,计算机设备,0.98,8,1.0
8,电力设备,0.78,9,2.0
9,小金属,0.62,10,9.0
10,食品加工制造,0.62,11,2.0
11,化工合成材料,0.6,12,0.0
12,化学制品,0.57,13,2.0
13,钢铁,0.56,14,31.0
14,农业服务,0.56,15,15.0
15,饮料制造,0.53,16,-2.0
16,消费电子,0.53,17,4.0
17,中药,0.48,18,0.0
18,化学原料,0.45,19,-2.0
19,厨卫电器,0.44,20,0.0
20,通信服务,0.44,21,23.0
21,通用设备,0.4,22,0.0
22,工业金属,0.4,23,16.0
23,汽车整车,0.38,24,12.0
24,石油加工贸易,0.35,25,15.0
25,包装印刷,0.35,26,-1.0
26,非金属材料,0.33,27,24.0
27,美容护理,0.32,28,-2.0
28,电子化学品,0.3,29,-9.0
29,国防军工,0.28,30,-20.0
30,港口航运,0.26,31,-4.0
31,光学光电子,0.25,32,-9.0
32,其他电子,0.24,33,-17.0
33,建筑材料,0.21,34,8.0
34,互联网电商,0.21,35,21.0
35,医疗器械,0.21,36,-12.0
36,仪器仪表,0.18,37,-3.0
37,环保,0.18,38,-3.0
38,建筑装饰,0.16,39,-2.0
39,纺织制造,0.12,40,-11.0
40,煤炭开采加工,0.12,41,0.0
41,房地产服务,0.12,42,1.0
42,白色家电,0.11,43,3.0
43,酒店及餐饮,0.11,44,0.0
44,保险及其他,0.1,45,-14.0
45,黑色家电,0.09,46,3.0
46,非汽车交运,0.09,47,13.0
47,贵金属,0.09,48,2.0
48,医疗服务,0.08,49,-16.0
49,生物制品,0.08,50,2.0
50,汽车服务,0.07,51,-3.0
51,服装家纺,0.06,52,2.0
52,教育,0.05,53,-21.0
53,种植业与林业,0.04,54,1.0
54,养殖业,0.04,55,3.0
55,家用轻工,0.04,56,0.0
56,小家电,0.04,57,0.0
57,金属新材料,0.04,58,0.0
58,其他社会服务,0.03,59,-18.0
59,化学制药,0.03,60,-13.0
60,医药商业,0.03,61,0.0
61,证券,0.02,62,0.0
62,银行,0.02,63,-4.0
63,零售,0.01,64,-11.0
64,电力,0.01,65,-64.0
