,板块名称,动量分值,动量排名,排名变化
0,饮料制造,4.17,1,0.0
1,计算机应用,3.52,2,3.0
2,通信设备,2.65,3,0.0
3,中药,1.92,4,6.0
4,汽车零部件,1.9,5,-3.0
5,农业服务,1.56,6,15.0
6,半导体及元件,1.43,7,5.0
7,食品加工制造,1.25,8,-4.0
8,医疗器械,1.2,9,9.0
9,家用轻工,1.15,10,-4.0
10,小家电,1.09,11,-2.0
11,服装家纺,1.02,12,2.0
12,酒店及餐饮,1.0,13,9.0
13,计算机设备,0.77,14,5.0
14,专用设备,0.73,15,-7.0
15,传媒,0.7,16,0.0
16,电力设备,0.68,17,-10.0
17,化学制品,0.67,18,-7.0
18,化学制药,0.65,19,17.0
19,自动化设备,0.6,20,-7.0
20,美容护理,0.57,21,9.0
21,仪器仪表,0.51,22,7.0
22,通信服务,0.44,23,23.0
23,厨卫电器,0.44,24,-1.0
24,小金属,0.4,25,-1.0
25,汽车整车,0.38,26,-9.0
26,国防军工,0.38,27,-1.0
27,非汽车交运,0.37,28,25.0
28,钢铁,0.36,29,-9.0
29,医药商业,0.28,30,15.0
30,煤炭开采加工,0.26,31,-16.0
31,光学光电子,0.25,32,-5.0
32,建筑装饰,0.24,33,1.0
33,建筑材料,0.21,34,-6.0
34,生物制品,0.18,35,20.0
35,金属新材料,0.17,36,-11.0
36,化学原料,0.16,37,-4.0
37,石油加工贸易,0.15,38,2.0
38,化工合成材料,0.15,39,-4.0
39,其他社会服务,0.13,40,25.0
40,纺织制造,0.12,41,0.0
41,环保,0.12,42,0.0
42,港口航运,0.12,43,0.0
43,房地产服务,0.12,44,0.0
44,白色家电,0.11,45,2.0
45,消费电子,0.1,46,-7.0
46,保险及其他,0.1,47,4.0
47,黑色家电,0.09,48,4.0
48,贵金属,0.09,49,5.0
49,非金属材料,0.08,50,0.0
50,机场航运,0.08,51,6.0
51,汽车服务,0.07,52,-20.0
52,零售,0.06,53,5.0
53,通用设备,0.06,54,-5.0
54,造纸,0.05,55,-17.0
55,景点及旅游,0.05,56,0.0
56,教育,0.05,57,3.0
57,互联网电商,0.05,58,-21.0
58,种植业与林业,0.04,59,2.0
59,电力,0.04,60,-10.0
60,养殖业,0.04,61,2.0
61,电子化学品,0.03,62,-31.0
62,其他电子,0.03,63,-15.0
63,银行,0.02,64,2.0
64,物流,0.02,65,-9.0
65,工业金属,0.02,66,-7.0
66,农产品加工,0.02,67,1.0
67,房地产开发,0.01,68,-6.0
