,板块名称,动量分值,动量排名,排名变化
0,计算机应用,4.52,1,2.0
1,中药,3.85,2,-1.0
2,钢铁,2.22,3,1.0
3,国防军工,1.98,4,4.0
4,建筑装饰,1.89,5,0.0
5,医药商业,1.53,6,1.0
6,通信设备,1.42,7,-5.0
7,机场航运,1.23,8,2.0
8,医疗器械,1.2,9,0.0
9,汽车整车,1.04,10,1.0
10,服装家纺,1.02,11,1.0
11,传媒,1.01,12,-6.0
12,半导体及元件,0.94,13,8.0
13,饮料制造,0.77,14,2.0
14,计算机设备,0.77,15,9.0
15,煤炭开采加工,0.74,16,1.0
16,专用设备,0.73,17,1.0
17,小家电,0.7,18,1.0
18,通信服务,0.69,19,1.0
19,石油加工贸易,0.62,20,2.0
20,非汽车交运,0.58,21,6.0
21,电子化学品,0.53,22,8.0
22,化学制药,0.53,23,12.0
23,汽车零部件,0.48,24,1.0
24,光学光电子,0.48,25,9.0
25,公路铁路运输,0.47,26,7.0
26,食品加工制造,0.45,27,-12.0
27,贵金属,0.36,28,20.0
28,家用轻工,0.34,29,-6.0
29,电力设备,0.3,30,1.0
30,其他社会服务,0.29,31,-17.0
31,消费电子,0.27,32,15.0
32,港口航运,0.26,33,-1.0
33,工业金属,0.25,34,8.0
34,零售,0.23,35,1.0
35,化学制品,0.23,36,8.0
36,建筑材料,0.21,37,0.0
37,自动化设备,0.2,38,7.0
38,景点及旅游,0.2,39,-1.0
39,油气开采及服务,0.19,40,-1.0
40,仪器仪表,0.18,41,-1.0
41,养殖业,0.16,42,-13.0
42,美容护理,0.14,43,-2.0
43,酒店及餐饮,0.11,44,-31.0
44,白色家电,0.11,45,14.0
45,厨卫电器,0.11,46,0.0
46,通用设备,0.1,47,10.0
47,黑色家电,0.09,48,-20.0
48,包装印刷,0.09,49,1.0
49,非金属材料,0.08,50,1.0
50,生物制品,0.08,51,1.0
51,汽车服务,0.07,52,3.0
52,农业服务,0.06,53,5.0
53,电力,0.04,54,-28.0
54,房地产开发,0.04,55,-6.0
55,化工合成材料,0.04,56,-2.0
56,纺织制造,0.03,57,-14.0
57,小金属,0.03,58,3.0
58,保险及其他,0.03,59,0.0
59,银行,0.02,60,3.0
60,证券,0.02,61,0.0
61,物流,0.02,62,-9.0
62,医疗服务,0.02,63,1.0
63,化学原料,0.02,64,-8.0
64,农产品加工,0.02,65,0.0
65,环保,0.01,66,-6.0
