,板块名称,动量分值,动量排名,排名变化
0,计算机应用,6.57,1,0.0
1,通信设备,6.22,2,0.0
2,厨卫电器,2.78,3,21.0
3,饮料制造,2.57,4,-1.0
4,传媒,2.54,5,0.0
5,家用轻工,1.87,6,1.0
6,酒店及餐饮,1.78,7,-1.0
7,中药,1.61,8,0.0
8,专用设备,1.14,9,8.0
9,煤炭开采加工,1.06,10,22.0
10,服装家纺,1.02,11,5.0
11,通信服务,1.0,12,-1.0
12,非汽车交运,0.84,13,5.0
13,食品加工制造,0.8,14,-10.0
14,钢铁,0.8,15,29.0
15,汽车零部件,0.8,16,-2.0
16,计算机设备,0.77,17,-4.0
17,小家电,0.7,18,7.0
18,机场航运,0.69,19,11.0
19,国防军工,0.63,20,7.0
20,半导体及元件,0.56,21,-12.0
21,仪器仪表,0.51,22,-2.0
22,建筑装饰,0.42,23,19.0
23,医疗器械,0.41,24,-14.0
24,消费电子,0.39,25,6.0
25,汽车整车,0.38,26,0.0
26,化学制品,0.38,27,-12.0
27,电力设备,0.3,28,0.0
28,农业服务,0.25,29,-17.0
29,通用设备,0.22,30,10.0
30,小金属,0.22,31,26.0
31,保险及其他,0.22,32,1.0
32,建筑材料,0.21,33,-11.0
33,互联网电商,0.21,34,0.0
34,自动化设备,0.2,35,-12.0
35,化学制药,0.16,36,-17.0
36,光学光电子,0.16,37,-8.0
37,化工合成材料,0.15,38,8.0
38,其他社会服务,0.13,39,19.0
39,纺织制造,0.12,40,-3.0
40,房地产服务,0.12,41,-2.0
41,医药商业,0.12,42,-21.0
42,白色家电,0.11,43,12.0
43,其他电子,0.11,44,15.0
44,黑色家电,0.09,45,-2.0
45,汽车服务,0.07,46,1.0
46,化学原料,0.07,47,-12.0
47,零售,0.06,48,0.0
48,工业金属,0.06,49,0.0
49,造纸,0.05,50,-1.0
50,教育,0.05,51,0.0
51,美容护理,0.04,52,-1.0
52,种植业与林业,0.04,53,-1.0
53,石油加工贸易,0.04,54,-1.0
54,环保,0.03,55,1.0
55,燃气,0.03,56,-20.0
56,港口航运,0.03,57,-19.0
57,公路铁路运输,0.03,58,2.0
58,银行,0.02,59,2.0
59,生物制品,0.02,60,-15.0
60,物流,0.02,61,1.0
61,农产品加工,0.02,62,2.0
62,电力,0.01,63,-22.0
63,房地产开发,0.01,64,1.0
