,板块名称,动量分值,动量排名,排名变化
0,计算机应用,10.16,1,0.0
1,中药,3.41,2,0.0
2,国防军工,3.1,3,1.0
3,半导体及元件,2.69,4,9.0
4,贵金属,2.27,5,23.0
5,传媒,2.04,6,6.0
6,通信设备,1.99,7,0.0
7,钢铁,1.8,8,-5.0
8,医药商业,1.53,9,-3.0
9,建筑装饰,1.28,10,-5.0
10,计算机设备,1.2,11,4.0
11,电子化学品,1.2,12,10.0
12,公路铁路运输,1.06,13,13.0
13,养殖业,1.0,14,28.0
14,煤炭开采加工,0.74,15,1.0
15,仪器仪表,0.73,16,25.0
16,通信服务,0.69,17,2.0
17,机场航运,0.69,18,-10.0
18,工业金属,0.57,19,15.0
19,医疗器械,0.53,20,-11.0
20,电力,0.52,21,33.0
21,专用设备,0.51,22,-5.0
22,银行,0.38,23,37.0
23,汽车整车,0.38,24,-14.0
24,黑色家电,0.36,25,23.0
25,石油加工贸易,0.35,26,-6.0
26,物流,0.33,27,35.0
27,消费电子,0.27,28,4.0
28,服装家纺,0.25,29,-18.0
29,光学光电子,0.25,30,-5.0
30,农产品加工,0.22,31,34.0
31,食品加工制造,0.2,32,-5.0
32,景点及旅游,0.2,33,6.0
33,包装印刷,0.2,34,15.0
34,饮料制造,0.19,35,-21.0
35,小家电,0.17,36,-18.0
36,零售,0.13,37,-2.0
37,其他社会服务,0.13,38,-7.0
38,港口航运,0.12,39,-6.0
39,汽车零部件,0.12,40,-16.0
40,酒店及餐饮,0.11,41,3.0
41,自动化设备,0.11,42,-4.0
42,通用设备,0.1,43,4.0
43,非汽车交运,0.09,44,-23.0
44,非金属材料,0.08,45,5.0
45,生物制品,0.08,46,5.0
46,汽车服务,0.07,47,5.0
47,化学制药,0.06,48,-25.0
48,农业服务,0.06,49,4.0
49,电力设备,0.05,50,-20.0
50,油气开采及服务,0.05,51,-11.0
51,教育,0.05,52,0.0
52,互联网电商,0.05,53,0.0
53,家用轻工,0.04,54,-25.0
54,化工合成材料,0.04,55,1.0
55,化学制品,0.04,56,-20.0
56,白色家电,0.03,57,-12.0
57,环保,0.03,58,8.0
58,保险及其他,0.03,59,0.0
59,证券,0.02,60,1.0
60,医疗服务,0.02,61,2.0
61,房地产开发,0.01,62,-7.0
62,建筑材料,0.01,63,-26.0
