,板块名称,动量分值,动量排名,排名变化
0,电力,5.56,1,6.0
1,计算机应用,5.35,2,-1.0
2,半导体及元件,3.24,3,7.0
3,自动化设备,3.2,4,4.0
4,汽车零部件,2.0,5,0.0
5,通信设备,1.71,6,-3.0
6,传媒,1.4,7,-5.0
7,专用设备,1.24,8,0.0
8,计算机设备,1.22,9,0.0
9,国防军工,1.15,10,0.0
10,电力设备,1.12,11,0.0
11,化工合成材料,0.99,12,-6.0
12,食品加工制造,0.81,13,0.0
13,饮料制造,0.8,14,0.0
14,化学制品,0.7,15,0.0
15,其他电子,0.68,16,0.0
16,化学原料,0.65,17,0.0
17,中药,0.65,18,0.0
18,小金属,0.64,19,0.0
19,电子化学品,0.55,20,0.0
20,消费电子,0.54,21,0.0
21,通用设备,0.53,22,0.0
22,光学光电子,0.5,23,0.0
23,医疗器械,0.41,24,0.0
24,包装印刷,0.4,25,0.0
25,美容护理,0.32,26,0.0
26,港口航运,0.32,27,0.0
27,贸易,0.31,28,0.0
28,纺织制造,0.28,29,0.0
29,农业服务,0.25,30,0.0
30,保险及其他,0.23,31,0.0
31,教育,0.2,32,0.0
32,医疗服务,0.19,33,0.0
33,仪器仪表,0.19,34,0.0
34,环保,0.19,35,-31.0
35,汽车整车,0.17,36,0.0
36,建筑装饰,0.17,37,0.0
37,综合,0.17,38,0.0
38,工业金属,0.16,39,0.0
39,石油加工贸易,0.16,40,0.0
40,其他社会服务,0.13,41,0.0
41,建筑材料,0.13,42,0.0
42,房地产服务,0.12,43,0.0
43,通信服务,0.12,44,0.0
44,钢铁,0.12,45,0.0
45,白色家电,0.11,46,0.0
46,化学制药,0.1,47,0.0
47,汽车服务,0.1,48,0.0
48,黑色家电,0.1,49,0.0
49,贵金属,0.09,50,0.0
50,非金属材料,0.08,51,0.0
51,生物制品,0.08,52,0.0
52,零售,0.07,53,0.0
53,服装家纺,0.06,54,0.0
54,种植业与林业,0.05,55,0.0
55,互联网电商,0.05,56,0.0
56,小家电,0.04,57,0.0
57,养殖业,0.04,58,0.0
58,银行,0.03,59,0.0
59,非汽车交运,0.03,60,0.0
60,医药商业,0.03,61,0.0
