,板块名称,动量分值,动量排名,排名变化
0,中药,3.41,1,2.0
1,通信设备,3.4,2,15.0
2,酒店及餐饮,2.78,3,1.0
3,饮料制造,2.57,4,-2.0
4,计算机应用,1.89,5,20.0
5,钢铁,1.8,6,-1.0
6,景点及旅游,1.8,7,2.0
7,半导体及元件,1.8,8,-2.0
8,国防军工,1.52,9,13.0
9,食品加工制造,1.51,10,4.0
10,汽车整车,1.5,11,2.0
11,建筑装饰,1.47,12,-1.0
12,传媒,1.38,13,3.0
13,机场航运,1.23,14,-4.0
14,家用轻工,1.15,15,-8.0
15,医药商业,1.12,16,-15.0
16,服装家纺,1.02,17,-9.0
17,专用设备,0.99,18,0.0
18,计算机设备,0.98,19,10.0
19,其他社会服务,0.81,20,-1.0
20,小家电,0.7,21,-9.0
21,通信服务,0.69,22,-1.0
22,医疗器械,0.67,23,-8.0
23,非汽车交运,0.58,24,0.0
24,厨卫电器,0.44,25,3.0
25,汽车零部件,0.39,26,10.0
26,养殖业,0.36,27,6.0
27,石油加工贸易,0.35,28,-5.0
28,煤炭开采加工,0.26,29,-2.0
29,公路铁路运输,0.26,30,8.0
30,电力设备,0.25,31,-5.0
31,光学光电子,0.25,32,11.0
32,零售,0.23,33,7.0
33,化学制品,0.23,34,3.0
34,建筑材料,0.21,35,-1.0
35,物流,0.19,36,5.0
36,油气开采及服务,0.19,37,-17.0
37,电力,0.17,38,-6.0
38,消费电子,0.17,39,10.0
39,美容护理,0.14,40,-5.0
40,电子化学品,0.13,41,20.0
41,纺织制造,0.12,42,2.0
42,港口航运,0.12,43,2.0
43,白色家电,0.11,44,2.0
44,黑色家电,0.09,45,5.0
45,贵金属,0.09,46,5.0
46,包装印刷,0.09,47,5.0
47,非金属材料,0.08,48,5.0
48,仪器仪表,0.08,49,17.0
49,汽车服务,0.07,50,4.0
50,化学原料,0.07,51,4.0
51,通用设备,0.06,52,-4.0
52,工业金属,0.06,53,-23.0
53,化学制药,0.06,54,-15.0
54,农业服务,0.06,55,1.0
55,自动化设备,0.05,56,11.0
56,房地产开发,0.04,57,2.0
57,化工合成材料,0.04,58,2.0
58,燃气,0.03,59,3.0
59,银行,0.02,60,-13.0
60,生物制品,0.02,61,-19.0
61,医疗服务,0.02,62,0.0
62,农产品加工,0.02,63,2.0
63,环保,0.01,64,4.0
