,板块名称,动量分值,动量排名,排名变化
0,汽车零部件,4.58,1,2.0
1,饮料制造,2.57,2,2.0
2,汽车整车,2.04,3,3.0
3,通信设备,1.69,4,-2.0
4,专用设备,1.64,5,2.0
5,计算机应用,1.27,6,-5.0
6,电力设备,1.1,7,9.0
7,小家电,1.09,8,2.0
8,食品加工制造,1.01,9,2.0
9,自动化设备,1.0,10,2.0
10,中药,0.85,11,-6.0
11,钢铁,0.8,12,-3.0
12,家用轻工,0.77,13,6.0
13,传媒,0.7,14,-6.0
14,金属新材料,0.67,15,13.0
15,化学制品,0.67,16,1.0
16,小金属,0.62,17,1.0
17,工业金属,0.57,18,2.0
18,半导体及元件,0.56,19,-5.0
19,农业服务,0.56,20,1.0
20,消费电子,0.53,21,14.0
21,仪器仪表,0.51,22,-9.0
22,煤炭开采加工,0.47,23,0.0
23,通信服务,0.44,24,2.0
24,厨卫电器,0.44,25,2.0
25,计算机设备,0.43,26,-11.0
26,医疗器械,0.41,27,-5.0
27,服装家纺,0.4,28,14.0
28,化工合成材料,0.34,29,2.0
29,建筑材料,0.33,30,2.0
30,建筑装饰,0.32,31,15.0
31,通用设备,0.3,32,6.0
32,电子化学品,0.3,33,0.0
33,汽车服务,0.29,34,0.0
34,化学原料,0.29,35,-10.0
35,白色家电,0.25,36,0.0
36,光学光电子,0.25,37,-7.0
37,其他电子,0.24,38,-1.0
38,农产品加工,0.22,39,0.0
39,非汽车交运,0.21,40,9.0
40,互联网电商,0.21,41,-17.0
41,环保,0.18,42,-3.0
42,化学制药,0.16,43,-3.0
43,养殖业,0.16,44,14.0
44,石油加工贸易,0.15,45,-4.0
45,美容护理,0.14,46,9.0
46,其他社会服务,0.13,47,-4.0
47,纺织制造,0.12,48,-4.0
48,房地产服务,0.12,49,-4.0
49,国防军工,0.12,50,-21.0
50,酒店及餐饮,0.11,51,0.0
51,保险及其他,0.1,52,-5.0
52,黑色家电,0.09,53,-5.0
53,贵金属,0.09,54,-4.0
54,包装印刷,0.09,55,-4.0
55,零售,0.06,56,-3.0
56,造纸,0.05,57,0.0
57,教育,0.05,58,-4.0
58,种植业与林业,0.04,59,-3.0
59,电力,0.04,60,-3.0
60,医药商业,0.03,61,-1.0
61,银行,0.02,62,-1.0
62,生物制品,0.02,63,-11.0
63,物流,0.02,64,-2.0
64,医疗服务,0.02,65,-2.0
65,房地产开发,0.01,66,-2.0
