,板块名称,动量分值,动量排名,排名变化
0,计算机应用,5.64,1,0.0
1,传媒,2.54,2,0.0
2,汽车零部件,2.1,3,4.0
3,饮料制造,1.72,4,12.0
4,专用设备,1.64,5,0.0
5,钢铁,1.42,6,8.0
6,通信设备,1.42,7,-4.0
7,自动化设备,1.23,8,-4.0
8,小金属,1.22,9,1.0
9,计算机设备,0.98,10,-2.0
10,半导体及元件,0.94,11,-5.0
11,电力设备,0.88,12,-3.0
12,中药,0.85,13,5.0
13,工业金属,0.78,14,9.0
14,仪器仪表,0.73,15,22.0
15,小家电,0.7,16,41.0
16,汽车整车,0.67,17,7.0
17,化学原料,0.64,18,1.0
18,食品加工制造,0.62,19,-8.0
19,农业服务,0.56,20,-5.0
20,互联网电商,0.47,21,14.0
21,煤炭开采加工,0.47,22,19.0
22,通信服务,0.44,23,-2.0
23,通用设备,0.4,24,-2.0
24,消费电子,0.39,25,-8.0
25,化学制品,0.38,26,-13.0
26,光学光电子,0.35,27,5.0
27,化工合成材料,0.34,28,-16.0
28,建筑材料,0.33,29,5.0
29,电子化学品,0.3,30,-1.0
30,汽车服务,0.29,31,20.0
31,国防军工,0.28,32,-2.0
32,家用轻工,0.24,33,23.0
33,建筑装饰,0.24,34,5.0
34,医疗器械,0.21,35,1.0
35,包装印刷,0.2,36,-10.0
36,环保,0.18,37,1.0
37,石油加工贸易,0.15,38,-13.0
38,美容护理,0.14,39,-11.0
39,港口航运,0.12,40,-9.0
40,房地产服务,0.12,41,1.0
41,纺织制造,0.12,42,-2.0
42,酒店及餐饮,0.11,43,1.0
43,厨卫电器,0.11,44,-24.0
44,白色家电,0.11,45,-2.0
45,保险及其他,0.1,46,-1.0
46,电力,0.1,47,18.0
47,贵金属,0.09,48,0.0
48,黑色家电,0.09,49,-3.0
49,非汽车交运,0.09,50,-3.0
50,生物制品,0.08,51,-1.0
51,非金属材料,0.08,52,-25.0
52,服装家纺,0.06,53,-1.0
53,教育,0.05,54,-1.0
54,养殖业,0.04,55,0.0
55,种植业与林业,0.04,56,-2.0
56,金属新材料,0.04,57,1.0
57,化学制药,0.03,58,2.0
58,其他电子,0.03,59,-26.0
59,其他社会服务,0.03,60,-1.0
60,医药商业,0.03,61,0.0
61,银行,0.02,62,1.0
62,医疗服务,0.02,63,-14.0
63,零售,0.01,64,0.0
