,板块名称,动量分值,动量排名,排名变化
0,计算机应用,29.57,1,1.0
1,传媒,14.26,2,10.0
2,半导体及元件,11.76,3,13.0
3,通信设备,7.35,4,18.0
4,消费电子,3.88,5,27.0
5,计算机设备,1.73,6,20.0
6,电子化学品,1.63,7,7.0
7,贵金属,1.45,8,-2.0
8,光学光电子,1.41,9,40.0
9,互联网电商,1.32,10,0.0
10,建筑装饰,1.1,11,-7.0
11,通信服务,0.44,12,13.0
12,自动化设备,0.44,13,28.0
13,国防军工,0.38,14,-1.0
14,黑色家电,0.36,15,16.0
15,中药,0.33,16,-15.0
16,医药商业,0.28,17,-8.0
17,景点及旅游,0.2,18,37.0
18,医疗服务,0.18,19,33.0
19,电力,0.17,20,0.0
20,厨卫电器,0.11,21,22.0
21,通用设备,0.1,22,22.0
22,非金属材料,0.08,23,0.0
23,工业金属,0.06,24,5.0
24,电力设备,0.05,25,11.0
25,建筑材料,0.05,26,30.0
26,专用设备,0.05,27,-8.0
27,石油加工贸易,0.04,28,-13.0
28,汽车整车,0.04,29,6.0
29,房地产开发,0.04,30,7.0
30,小家电,0.04,31,-1.0
31,化学制品,0.04,32,26.0
32,养殖业,0.04,33,-28.0
33,港口航运,0.03,34,-27.0
34,其他电子,0.03,35,0.0
35,饮料制造,0.02,36,-3.0
36,非汽车交运,0.02,37,9.0
37,银行,0.02,38,-28.0
38,物流,0.02,39,-22.0
39,仪器仪表,0.02,40,-22.0
40,环保,0.01,41,18.0
41,家用轻工,0.01,42,5.0
42,医疗器械,0.01,43,-22.0
43,化工合成材料,0.01,44,18.0
44,化学制药,0.01,45,-22.0
45,汽车零部件,0.0,46,-7.0
