,板块名称,动量分值,动量排名,排名变化
0,通信设备,4.25,1,1.0
1,中药,3.0,2,6.0
2,饮料制造,2.57,3,1.0
3,钢铁,2.22,4,11.0
4,半导体及元件,1.8,5,16.0
5,酒店及餐饮,1.78,6,1.0
6,厨卫电器,1.78,7,-4.0
7,家用轻工,1.61,8,-2.0
8,小家电,1.57,9,9.0
9,传媒,1.38,10,-5.0
10,专用设备,1.3,11,-2.0
11,食品加工制造,1.25,12,2.0
12,机场航运,1.23,13,6.0
13,医药商业,1.12,14,28.0
14,汽车整车,1.04,15,11.0
15,服装家纺,1.02,16,-5.0
16,通信服务,1.0,17,-5.0
17,国防军工,0.94,18,2.0
18,建筑装饰,0.79,19,4.0
19,计算机应用,0.77,20,-19.0
20,汽车零部件,0.69,21,-5.0
21,自动化设备,0.6,22,13.0
22,计算机设备,0.59,23,-6.0
23,医疗器械,0.53,24,0.0
24,电力,0.52,25,38.0
25,景点及旅游,0.45,26,0.0
26,电力设备,0.44,27,1.0
27,化学制品,0.38,28,-1.0
28,非汽车交运,0.37,29,-16.0
29,其他社会服务,0.29,30,9.0
30,化学制药,0.24,31,5.0
31,建筑材料,0.21,32,1.0
32,生物制品,0.18,33,27.0
33,仪器仪表,0.18,34,-12.0
34,消费电子,0.17,35,-10.0
35,通用设备,0.16,36,-6.0
36,光学光电子,0.16,37,0.0
37,石油加工贸易,0.15,38,16.0
38,零售,0.13,39,9.0
39,纺织制造,0.12,40,0.0
40,港口航运,0.12,41,16.0
41,白色家电,0.11,42,1.0
42,银行,0.1,43,16.0
43,农产品加工,0.1,44,18.0
44,黑色家电,0.09,45,0.0
45,包装印刷,0.09,46,0.0
46,非金属材料,0.08,47,0.0
47,化工合成材料,0.08,48,-10.0
48,汽车服务,0.07,49,-3.0
49,化学原料,0.07,50,-3.0
50,工业金属,0.06,51,-2.0
51,造纸,0.05,52,-2.0
52,金属新材料,0.04,53,0.0
53,美容护理,0.04,54,-2.0
54,种植业与林业,0.04,55,-2.0
55,房地产开发,0.04,56,8.0
56,养殖业,0.04,57,0.0
57,电子化学品,0.03,58,0.0
58,燃气,0.03,59,-3.0
59,煤炭开采加工,0.03,60,-50.0
60,小金属,0.03,61,-30.0
61,其他电子,0.03,62,-18.0
62,公路铁路运输,0.03,63,-5.0
63,保险及其他,0.03,64,-32.0
64,物流,0.02,65,-4.0
65,医疗服务,0.02,66,0.0
66,环保,0.01,67,-12.0
