,板块名称,动量分值,动量排名,排名变化
0,中药,3.41,1,0.0
1,通信设备,3.01,2,0.0
2,计算机应用,2.25,3,2.0
3,钢铁,2.22,4,2.0
4,建筑装饰,2.12,5,7.0
5,传媒,2.04,6,7.0
6,医药商业,2.0,7,9.0
7,国防军工,1.74,8,1.0
8,医疗器械,1.41,9,14.0
9,机场航运,1.23,10,4.0
10,汽车整车,1.04,11,0.0
11,服装家纺,1.02,12,5.0
12,酒店及餐饮,1.0,13,-10.0
13,其他社会服务,0.81,14,6.0
14,食品加工制造,0.8,15,-5.0
15,饮料制造,0.77,16,-12.0
16,煤炭开采加工,0.74,17,12.0
17,专用设备,0.73,18,0.0
18,小家电,0.7,19,2.0
19,通信服务,0.69,20,2.0
20,半导体及元件,0.67,21,-13.0
21,石油加工贸易,0.62,22,6.0
22,家用轻工,0.61,23,-8.0
23,计算机设备,0.59,24,-5.0
24,汽车零部件,0.48,25,1.0
25,电力,0.38,26,12.0
26,非汽车交运,0.37,27,-3.0
27,黑色家电,0.36,28,17.0
28,养殖业,0.36,29,-2.0
29,电子化学品,0.3,30,11.0
30,电力设备,0.3,31,0.0
31,港口航运,0.26,32,11.0
32,公路铁路运输,0.26,33,-3.0
33,光学光电子,0.25,34,-2.0
34,化学制药,0.24,35,19.0
35,零售,0.23,36,-3.0
36,建筑材料,0.21,37,-2.0
37,景点及旅游,0.2,38,-31.0
38,油气开采及服务,0.19,39,-2.0
39,仪器仪表,0.18,40,9.0
40,美容护理,0.14,41,-1.0
41,工业金属,0.14,42,11.0
42,纺织制造,0.12,43,-1.0
43,化学制品,0.12,44,-10.0
44,自动化设备,0.11,45,11.0
45,厨卫电器,0.11,46,-21.0
46,消费电子,0.1,47,-8.0
47,贵金属,0.09,48,-2.0
48,房地产开发,0.09,49,8.0
49,包装印刷,0.09,50,-3.0
50,非金属材料,0.08,51,-3.0
51,生物制品,0.08,52,9.0
52,物流,0.08,53,-17.0
53,化工合成材料,0.08,54,4.0
54,汽车服务,0.07,55,-5.0
55,化学原料,0.07,56,-5.0
56,通用设备,0.06,57,-5.0
57,农业服务,0.06,58,-3.0
58,白色家电,0.03,59,-15.0
59,环保,0.03,60,4.0
60,小金属,0.03,61,0.0
61,其他电子,0.03,62,0.0
62,银行,0.02,63,-3.0
63,医疗服务,0.02,64,-2.0
64,农产品加工,0.02,65,-2.0
