,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,博睿数据,计算机-计算机应用-IT服务,19.992,转融券标的;融资融券;人工智能;大数据;百度概念
1,本川智能,电子-半导体及元件-印制电路板,17.837,5G;汽车电子;华为概念;军工;特斯拉;融资融券;转融券标的;新能源汽车;机器人概念;PCB概念;专精特新;医疗器械概念;毫米波雷达;6G概念
2,中航电测,国防军工-国防军工-军工电子,13.869,军民融合;工业机器人;中航系;深股通;专精特新;传感器;融资融券;转融券标的;中字头股票;央企国企改革;地方国企改革;国企改革;机器人概念;智能交通;军工;成飞概念
3,万辰生物,农林牧渔-种植业与林业-其他种植业,10.942,农业种植;乡村振兴;融资融券;转融券标的;高送转预期;年报预增
4,中文传媒,传媒-传媒-出版,10.048,鄱阳湖经济区;新媒体;融资融券;沪股通;广播电视;平面媒体;转融券标的;虚拟现实;文化传媒;参股新三板;在线教育;VR平台;手机游戏;富时罗素概念;富时罗素概念股;标普道琼斯A股;地方国企改革;国企改革
5,中船科技,国防军工-国防军工-航海装备,10.027,高端装备;LNG动力船;船舶升级概念;海洋经济;国产航母;军工;海工装备;一带一路;融资融券;机械装备;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股;PPP概念;中船系;风电;地方国企改革;央企国企改革;中字头股票;国企改革
6,中公高科,建筑装饰-建筑装饰-工程咨询服务,9.99,公路建设;大数据;中字头股票;央企国企改革;国企改革;国资云;数字经济
7,中国卫通,国防军工-国防军工-航天装备,9.988,一带一路;军工;富时罗素概念;融资融券;转融券标的;富时罗素概念股;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革;6G概念
8,寿仙谷,医药生物-中药-中药Ⅲ,9.223,中医药;老字号;保健品;工业大麻;维生素;数字经济
9,民和股份,农林牧渔-养殖业-畜禽养殖,8.007,家禽养殖;生态农业;循环经济;养鸡;融资融券;转融券标的;富时罗素概念;富时罗素概念股;电子商务;预制菜;生物质能发电
10,迈得医疗,机械设备-自动化设备-其他自动化设备,7.285,融资融券;转融券标的;医疗器械概念;口罩;高端装备;机器人概念;专精特新
11,长江通信,通信-通信设备-其他通信设备,6.97,宽带中国;东湖高新园区;武汉光谷;武汉自贸区;光纤光缆;VR设备;光纤;智能交通;融资融券;卫星导航;转融券标的;富时罗素概念股;标普道琼斯A股;5G;地方国企改革;央企国企改革;国企改革;年报预增
12,华恒生物,基础化工-化学制品-食品及饲料添加剂,6.837,融资融券;转融券标的;年报预增
13,滨海能源,轻工制造-包装印刷-印刷,6.574,滨海新区;环渤海
14,盛天网络,传媒-传媒-游戏,6.446,网络游戏;手机游戏;独角兽概念;VPN;云游戏;电子竞技;云计算;广告营销;快手概念;创投;文化传媒;元宇宙;东数西算（算力）;大数据;年报预增
15,上海瀚讯,国防军工-国防军工-军工电子,6.21,军工;智慧城市;军民融合;国产软件;无人机;融资融券;深股通;中科院系;转融券标的;芯片概念;专精特新;5G
16,海格通信,国防军工-国防军工-军工电子,5.835,专网通信;虚拟现实;电子信息;遥感技术;融资融券;深股通;军民融合;转融券标的;阅兵;人工智能;卫星导航;航空航天;物联网;军工;无人机;国产操作系统;富时罗素概念;富时罗素概念股;芯片概念;网络切片;5G;标普道琼斯A股;国产软件;分拆上市意愿;MSCI概念;国产航母;地方国企改革;广东国企改革;国企改革;成飞概念
17,朗科科技,计算机-计算机设备-计算机设备Ⅲ,5.692,三星;数据存储;元器件;内存;存储芯片;知识产权保护;芯片概念;融资融券;转融券标的;人民币贬值受益;粤港澳大湾区;地方国企改革;国企改革
18,新农股份,基础化工-化学制品-农药,5.421,磷化工;乡村振兴
19,佐力药业,医药生物-中药-中药Ⅲ,5.419,医疗改革;中医药;生物医药;健康中国;独角兽概念;医保目录;细胞免疫治疗;基因测序;冬虫夏草;共同富裕示范区;股权转让;医药电商;电子商务;网络直播;年报预增
20,九典制药,医药生物-化学制药-化学制剂,5.382,仿制药一致性评价;熊去氧胆酸
