,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,天利科技,计算机-计算机应用-IT服务,19.968,互联网保险;互联网金融;创业板重组松绑;富媒体;地方国企改革;国企改革;年报预增;ChatGPT概念
1,易华录,计算机-计算机应用-IT服务,19.933,安防;京津冀一体化;农村电商;融资融券;深股通;转融券标的;乡村振兴;智能交通;物联网平台层;物联网;云计算;PPP概念;智慧城市;大数据;商汤科技概念;独角兽概念;边缘计算;雄安新区;阿里巴巴概念;京东概念;富时罗素概念;富时罗素概念股;车联网;数字中国;人工智能;电子车牌;网络安全;华为概念;东数西算（算力）;国资云;MSCI概念;养老概念;百度概念;数字经济;信创;地方国企改革;央企国企改革;国企改革;数据确权;数据交易中心;数字孪生
2,方直科技,计算机-计算机应用-软件开发,13.189,K12教育;在线教育;云计算;国产软件;创业板重组松绑;区块链;人工智能;华为概念;虚拟数字人;ChatGPT概念
3,富乐德,电子-半导体及元件-半导体设备,12.172,芯片概念;注册制次新股;转融券标的;新股与次新股;融资融券;中芯国际概念
4,泽宇智能,电力设备-电力设备-电气自控设备,10.501,智能电网;光伏概念;柔性直流输电;特高压;储能;风电;光伏建筑一体化;融资融券;绿色电力;数据中心;数字经济;充电桩;转融券标的;国产软件;虚拟电厂;高送转预期
5,奥普光电,国防军工-国防军工-军工电子,10.019,嫦娥概念;军工;中科院系;医疗器械概念;专精特新;传感器;芯片概念;机器视觉;碳纤维;机器人概念;工业母机;融资融券;转融券标的;央企国企改革;国企改革
6,淳中科技,计算机-计算机设备-计算机设备Ⅲ,10.01,安防;军工;超清视频;芯片概念;航空航天;智慧城市
7,润达医疗,医药生物-医药商业-医药商业Ⅲ,9.993,生物医药;沪股通;医疗器械概念;互联网医疗;融资融券;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股;体外诊断;新冠检测;股权转让;幽门螺杆菌概念;猴痘概念;地方国企改革;国企改革;浙江国企改革;人工智能
8,龙宇股份,计算机-计算机应用-IT服务,9.956,油品升级;云计算;大数据;阿里巴巴概念;数据中心;寒武纪概念;工业大麻;油品改革;独角兽概念;边缘计算
9,容大感光,电子-电子化学品-电子化学品Ⅲ,5.822,OLED;柔性屏;光刻胶;转融券标的;融资融券;专精特新
10,凯龙高科,交运设备-汽车零部件-汽车零部件Ⅲ,5.516,融资融券;转融券标的;尾气治理;新能源汽车;国六标准、国六排放、国六;节能环保;汽车热管理;比亚迪概念;国四概念
11,朗科科技,计算机-计算机设备-计算机设备Ⅲ,4.847,三星;数据存储;元器件;内存;存储芯片;知识产权保护;芯片概念;融资融券;转融券标的;人民币贬值受益;粤港澳大湾区;地方国企改革;国企改革
12,福晶科技,电子-光学光电子-光学元件,4.802,深紫外光;量子霍尔;激光;融资融券;中科院系;转融券标的;激光器;深股通;华为概念;虚拟现实;元器件;无人驾驶;央企国企改革;国企改革
13,中国卫通,国防军工-国防军工-航天装备,4.61,一带一路;军工;富时罗素概念;融资融券;转融券标的;富时罗素概念股;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革;6G概念
14,上海电影,传媒-传媒-影视院线,4.107,文化传媒;影视娱乐;上海国企改革;地方国企改革;国企改革
15,富淼科技,基础化工-化学制品-其他化学制品,4.062,融资融券;转融券标的;污水处理;专精特新;氢能源;盐湖提锂;膜材料
16,能科科技,计算机-计算机应用-IT服务,3.761,工业互联网;工业4.0;军民融合;军工;华为概念;能源互联网;数字孪生;智能制造;大飞机;轨道交通;数字经济;充电桩
