,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,剑桥科技,通信-通信设备-通信终端及配件,9.982,宽带中国;物联网;智能家居;5G;工业互联网;新基建;边缘计算;华为概念;融资融券;转融券标的;人民币贬值受益;F5G概念;年报预增;共封装光学（CPO）
1,天孚通信,通信-通信设备-通信网络设备及器件,8.563,光纤;宽带中国;5G;融资融券;华为概念;深股通;转融券标的;富时罗素概念;富时罗素概念股;专精特新;共封装光学（CPO）
2,润建股份,通信-通信服务-通信服务Ⅲ,7.545,雄安新区;边缘计算;电力物联网;大数据;区块链;数据中心;工业互联网;无人机;网络切片;云计算;标普道琼斯A股;光伏概念;深股通;5G;储能;华为概念;虚拟现实;虚拟电厂;信创
3,航天工程,机械设备-专用设备-能源及重型设备,6.997,节能环保;煤化工;军工;融资融券;转融券标的;碳中和;氢能源;央企国企改革;国企改革
4,通宝能源,公用事业-电力-火电,5.372,融资融券;转融券标的;证金持股;山西国企改革;地方国企改革;国企改革;年报预增
5,航天科技,交运设备-汽车零部件-汽车零部件Ⅲ,4.852,无人机;阅兵;振兴东北;融资融券;深股通;航天系;航空航天;转融券标的;军民融合;汽车电子;车联网;军工;工业互联网;黑龙江自贸区;物联网;卫星导航;智能电网;富时罗素概念;富时罗素概念股;标普道琼斯A股;无人驾驶;太空经济;传感器;中俄贸易概念;地方国企改革;央企国企改革;国企改革
6,喜悦智行,轻工制造-包装印刷-包装,4.526,特斯拉;节能环保;智能物流;转融券标的;比亚迪概念;融资融券;华为概念
7,立方制药,医药生物-化学制药-化学制剂,4.039,医药电商;医保目录;中医药;肝炎概念;眼科医疗;仿制药一致性评价;高血压药
8,多伦科技,计算机-计算机应用-软件开发,3.867,云计算;在线教育;职业教育;智能交通;物联网应用层;物联网感知层;人工智能;卫星导航;无人驾驶;物联网;驾驶培训;芯片概念;滴滴概念股;比亚迪概念;机器视觉;机器人概念;大数据;ChatGPT概念;国产软件
9,万泽股份,医药生物-生物制品-其他生物制品,3.746,涉矿;生物医药;医保目录;大飞机;航空发动机;军工;融资融券;转融券标的
10,轻纺城,商贸零售-零售-商业物业经营,3.704,跨境电商;融资融券;转融券标的;电子商务;创投;地方国企改革;浙江国企改革;国企改革;参股银行;年报预增
11,浙江仙通,交运设备-汽车零部件-汽车零部件Ⅲ,3.587,新能源汽车;比亚迪概念
12,龙高股份,基础化工-非金属材料-非金属材料Ⅲ,3.427,稀缺资源;地方国企改革;国企改革
13,西藏药业,医药生物-中药-中药Ⅲ,3.411,小额贷款;抗癌;中医药;医保目录;冬虫夏草;人脑工程;生物医药;医疗器械概念;生物疫苗;MSCI概念;沪股通;富时罗素概念;融资融券;转融券标的;年报预增
14,威胜信息,通信-通信设备-通信终端及配件,3.143,融资融券;转融券标的;智慧城市;物联网;电力物联网;智能电网;芯片概念;阿里巴巴概念;充电桩;腾讯概念;能源互联网;专精特新
15,金牌厨柜,轻工制造-家用轻工-家具,3.140,沪股通;精装修;标普道琼斯A股
16,新农股份,基础化工-化学制品-农药,2.900,磷化工;乡村振兴
17,恒林股份,轻工制造-家用轻工-家具,2.886,小米概念;人民币贬值受益;精装修;跨境电商
18,万安科技,交运设备-汽车零部件-汽车零部件Ⅲ,2.810,车联网;汽车电子;无人驾驶;独角兽概念;新能源汽车;小鹏汽车概念;理想汽车概念;军工;蔚来汽车概念;无线充电;比亚迪概念;年报预增;毫米波雷达
19,东华测试,机械设备-仪器仪表-仪器仪表Ⅲ,2.352,华为概念;军工;创业板重组松绑;航空发动机;工业互联网;物联网;传感器;专精特新
20,大丰实业,机械设备-专用设备-其他专用设备,2.288,体育产业;文化传媒;虚拟现实;元宇宙;新基建;杭州亚运会;轨道交通;冬奥会;雄安新区
