,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,汤姆猫,传媒-传媒-游戏,20.08,幼儿教育;IP概念;深股通;人工智能;大数据;广告营销;文化传媒;阿里巴巴概念;手机游戏;知识产权保护;增强现实;区块链;VR游戏;虚拟现实;云游戏;华为概念;网红经济;影视娱乐;富时罗素概念;MSCI概念;动漫;快手概念;富时罗素概念股;NFT概念;元宇宙;托育服务;facebook概念;抖音概念;鸿蒙概念;脑科学;人脑工程;融资融券;转融券标的;AIGC概念;ChatGPT概念;数据中心
1,当虹科技,计算机-计算机应用-IT服务,18.289,融资融券;超清视频;云计算;人工智能;人脸识别;转融券标的;虚拟现实;安防;元宇宙;web3.0;世界杯;AIGC概念;专精特新;信创;冬奥会;华为欧拉;虚拟数字人;IPV6
2,博创科技,通信-通信设备-通信网络设备及器件,15.849,5G;长三角一体化;芯片概念;华为概念;F5G概念;专精特新;共封装光学（CPO）
3,信科移动,通信-通信设备-通信网络设备及器件,14.609,融资融券;转融券标的;5G;新股与次新股;科创次新股;央企国企改革;国企改革;人工智能;6G概念
4,福昕软件,计算机-计算机应用-软件开发,13.642,融资融券;转融券标的;国产软件;国产替代;SAAS;人工智能
5,科汇股份,电力设备-电力设备-电气自控设备,13.011,智能电网;特高压;专精特新;柔性直流输电;融资融券;转融券标的;储能;充电桩;虚拟电厂;分布式发电;工业互联网
6,奥康国际,纺织服装-服装家纺-鞋帽及其他,10.041,参股民营银行;电子商务;融资融券;转融券标的;C2M概念;新零售;体育用品;体育产业;跨境电商
7,恒久科技,电子-光学光电子-光学元件,10.03,区块链;激光;军工;燃料电池;网络安全;信创;医疗器械概念;智能制造;安防;光伏概念;数字经济;数据安全;NFT概念;云计算
8,蒙娜丽莎,轻工制造-家用轻工-瓷砖地板,10.005,陶瓷产品;精装修;深股通;数据中心;杭州亚运会
9,华脉科技,通信-通信设备-通信线缆及配套,10.0,光纤光缆;融资融券;转融券标的;物联网;边缘计算;WiFi 6;数据中心;5G;F5G概念;人工智能
10,新华网,传媒-传媒-数字媒体,10.0,文化传媒;在线教育;阿里巴巴概念;沪股通;大数据;人工智能;创投;区块链;知识产权保护;融资融券;转融券标的;网络直播;富时罗素概念;富时罗素概念股;标普道琼斯A股;北交所概念;元宇宙;虚拟数字人;央企国企改革;国企改革;数据确权;数字经济;AIGC概念;京津冀一体化
11,欣贺股份,纺织服装-服装家纺-服装,10.0,新零售;电子商务;抗病毒面料
12,中国卫通,国防军工-国防军工-航天装备,10.0,一带一路;军工;富时罗素概念;融资融券;转融券标的;富时罗素概念股;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革;6G概念
13,九牧王,纺织服装-服装家纺-服装,10.0,电子商务;融资融券;转融券标的;新零售
14,剑桥科技,通信-通信设备-通信终端及配件,9.624,宽带中国;物联网;智能家居;5G;工业互联网;新基建;边缘计算;华为概念;融资融券;转融券标的;人民币贬值受益;F5G概念;年报预增;共封装光学（CPO）
15,品高股份,计算机-计算机应用-IT服务,8.809,国产软件;军工;国产替代;云计算;融资融券;转融券标的;数字经济;信创
16,中钢国际,建筑装饰-建筑装饰-专业工程,8.413,央企控股;振兴东北;融资融券;转融券标的;基建工程;一带一路;3D打印;口罩;医疗废物处理;富时罗素概念股;标普道琼斯A股;节能环保;碳中和;工业4.0;深股通;超超临界发电;地方国企改革;央企国企改革;中字头股票;国企改革
17,新国都,计算机-计算机设备-计算机设备Ⅲ,8.012,移动金融;银联;NFC;指纹技术;电子信息;互联网银行;微信概念;区块链应用;物联网应用层;物联网;征信;大数据;移动支付;腾讯概念;融资融券;人脸识别;芯片概念;转融券标的;区块链;汽车电子;数字货币;电子身份证;跨境支付（CIPS）;深股通;人工智能;AIGC概念
18,震有科技,通信-通信设备-其他通信设备,7.503,融资融券;转融券标的;5G;智慧城市;军工;卫星导航
19,富淼科技,基础化工-化学制品-其他化学制品,7.356,融资融券;转融券标的;污水处理;专精特新;氢能源;盐湖提锂;膜材料
20,汉王科技,计算机-计算机应用-软件开发,6.916,虹膜识别;指纹技术;人脑工程;基因测序;反恐;空气净化;电子书;互联网银行;电子信息;触摸屏;PM2.5;人工智能;图像识别;中科院系;口罩;在线教育;芯片概念;电子纸;数字经济;华为概念;华为鲲鹏;电子身份证;智慧政务;疫情监测;数字中国;跨境电商;智能汽车;机器人概念;京津冀一体化;机器视觉;比亚迪概念;虚拟数字人;消费电子概念;信创;人脸识别;医疗器械概念;智能医疗;智慧城市;电子商务;ChatGPT概念
21,长江通信,通信-通信设备-其他通信设备,6.878,宽带中国;东湖高新园区;武汉光谷;武汉自贸区;光纤光缆;VR设备;光纤;智能交通;融资融券;卫星导航;转融券标的;富时罗素概念股;标普道琼斯A股;5G;地方国企改革;央企国企改革;国企改革;年报预增
22,天孚通信,通信-通信设备-通信网络设备及器件,6.306,光纤;宽带中国;5G;融资融券;华为概念;深股通;转融券标的;富时罗素概念;富时罗素概念股;专精特新;共封装光学（CPO）
23,湘邮科技,计算机-计算机应用-IT服务,5.578,电子信息;蚂蚁金服概念;国产软件;卫星导航;信创;安防;乡村振兴;智慧政务;国资云;云计算;数字经济;跨境电商;数据中心;数字乡村;央企国企改革;国企改革;移动支付;数字货币
24,同方股份,计算机-计算机设备-计算机设备Ⅲ,5.307,智能家居;癌症定量检测;军工;安防;物联网;电子书;太赫兹;参股新三板;电子信息;数字电视;量子霍尔;节能照明;电子标签;养老概念;融资融券;转融券标的;物联网感知层;网络安全;电子车牌;云计算;PPP概念;创投;移动支付;海绵城市;国产操作系统;参股券商;互联网保险;富时罗素概念股;紫光系;智慧城市;在线教育;北交所概念;土壤修复;区块链;数字经济;信创;机器人概念;大数据;地方国企改革;央企国企改革;国企改革;人工智能;华为概念
