,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,新城市,建筑装饰-建筑装饰-工程咨询服务,20.0,智慧停车;垃圾分类;乡村振兴;智慧城市;华为概念;海绵城市;换电概念;新型城镇化;地下管网
1,赛恩斯,环保-环保-综合环境治理,19.076,转融券标的;新股与次新股;科创次新股;节能环保;融资融券
2,金信诺,国防军工-国防军工-军工电子,15.79,光纤;基站射频;军民融合;光纤光缆;军工;5G;华为概念;物联网;数据中心;汽车电子;集成电路概念;富时罗素概念股;国产航母;磷酸铁锂;新能源汽车;富时罗素概念;无线耳机;芯片概念;车联网;WiFi 6;F5G概念;东数西算（算力）;钙钛矿电池;PCB概念;卫星导航;6G概念
3,中亦科技,计算机-计算机应用-IT服务,15.154,融资融券;转融券标的;注册制次新股;新股与次新股;数据中心;华为概念;跨境支付（CIPS）;信创
4,佰维存储,电子-半导体及元件-集成电路设计,14.922,转融券标的;先进封装（Chiplet）;科创次新股;国家大基金持股;芯片概念;新股与次新股;融资融券;数据存储;信创;专精特新;汽车芯片;消费电子概念;数据中心
5,上海新阳,电子-电子化学品-电子化学品Ⅲ,11.59,智能穿戴;硅晶圆;芯片设备;芯片制造;芯片概念;集成电路概念;光刻胶;融资融券;深股通;转融券标的;富时罗素概念;中芯国际概念;富时罗素概念股;专精特新;先进封装（Chiplet）
6,彩讯股份,计算机-计算机应用-IT服务,11.385,大数据;区块链;云办公;数字营销;华为概念;富媒体;网络安全;参股新三板;虚拟现实;华为鲲鹏;5G;智慧政务;鸿蒙概念;信创;数字经济;ChatGPT概念;百度概念;虚拟数字人;6G概念;元宇宙;人工智能
7,永鼎股份,通信-通信设备-通信线缆及配套,10.024,电子信息;网络安全;宽带中国;光纤光缆;大数据;长三角一体化;融资融券;转融券标的;富时罗素概念;芯片概念;富时罗素概念股;标普道琼斯A股;华为汽车;华为概念;新能源汽车;5G;一带一路;专精特新;参股银行;年报预增;超导概念
8,中公高科,建筑装饰-建筑装饰-工程咨询服务,10.0,公路建设;大数据;中字头股票;央企国企改革;国企改革;国资云;数字经济
9,紫光股份,计算机-计算机应用-IT服务,10.0,IPV6;TMT;智能路由器;融资租赁;人工智能;国产替代;智能交通;超级计算机;参股新三板;癌症定量检测;电子信息;电子书;融资融券;AI芯片;深股通;5G主设备;转融券标的;物联网平台层;物联网;大数据;态势感知;富时罗素概念;富时罗素概念股;网络切片;标普道琼斯A股;紫光系;国产操作系统;机器人概念;芯片概念;网络安全;WiFi 6;东数西算（算力）;国资云;5G;MSCI概念;云计算;养老金持股;冬奥会;共封装光学（CPO）
10,上海电影,传媒-传媒-影视院线,9.991,文化传媒;影视娱乐;上海国企改革;地方国企改革;国企改革
11,澳弘电子,电子-半导体及元件-印制电路板,9.987,汽车电子;PCB概念;新能源汽车
12,中国卫通,国防军工-国防军工-航天装备,9.978,一带一路;军工;富时罗素概念;融资融券;转融券标的;富时罗素概念股;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革;6G概念
13,值得买,传媒-传媒-数字媒体,8.598,电子商务;阿里巴巴概念;新零售;拼多多概念;抖音概念;NFT概念;AIGC概念;百度概念
14,三维通信,通信-通信服务-通信服务Ⅲ,7.728,创投;王者荣耀;电子信息;TMT;通信基站;5G;广告营销;文化传媒;融资融券;网红经济;转融券标的;卫星导航;腾讯概念;标普道琼斯A股;共同富裕示范区;抖音概念;华为概念;快手概念;6G概念;智慧灯杆
15,世嘉科技,通信-通信设备-通信网络设备及器件,7.143,电梯概念;5G;融资融券;转融券标的;医疗器械概念;通信基站;储能;军工;射频器;6G概念
16,润泽科技,计算机-计算机应用-IT服务,6.711,食品包装;工业4.0;创业板重组松绑;数据中心;东数西算（算力）;年报预增
