,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,思进智能,机械设备-通用设备-机床工具,9.996,国产替代;高端装备;工业母机;专精特新;新能源汽车;军工;智能制造
1,有友食品,食品饮料-食品加工制造-休闲食品,8.648,休闲零食;大消费;电子商务;预制菜
2,南京聚隆,基础化工-化工合成材料-改性塑料,7.710,消防装备;聚丙烯;新能源汽车;充电桩;锦纶;高铁;轨道交通;创业板重组松绑;5G;特斯拉;口罩;可降解塑料;比亚迪概念;汽车热管理;毫米波雷达
3,福瑞股份,医药生物-医疗器械-医疗设备,6.917,冬虫夏草;互联网医疗;医疗器械概念;创业板重组松绑;参股保险;中医药;三胎概念;家庭医生;肝炎概念;辉瑞概念;人民币贬值受益;融资融券;转融券标的
4,湖南海利,基础化工-化学制品-农药,5.550,食品安全;蜱虫;草地贪夜蛾防治;锂电池;地方国企改革;国企改革;湖南国企改革
5,武商集团,商贸零售-零售-百货零售,5.373,武汉金改;武汉自贸区;融资融券;电子商务;深股通;商超百货;转融券标的;新零售;富时罗素概念;免税店;社区团购;标普道琼斯A股;参股民营银行;消费金融;预制菜;富时罗素概念股;露营经济;白酒概念;物流电商平台;一带一路;地方国企改革;国企改革;参股银行
6,苏文电能,建筑装饰-建筑装饰-基础建设,4.953,智能电网;能源互联网;充电桩;工业互联网;光伏概念;融资融券;储能;转融券标的;深股通
7,小熊电器,家用电器-小家电-小家电Ⅲ,4.678,家用电器;电子商务;深股通
8,天地科技,机械设备-专用设备-能源及重型设备,4.630,央企控股;涉矿;融资融券;沪股通;转融券标的;节能环保;煤化工;富时罗素概念;富时罗素概念股;标普道琼斯A股;煤炭概念;分拆上市意愿;F5G概念;地方国企改革;央企国企改革;国企改革
9,海澜之家,纺织服装-服装家纺-服装,4.615,智能物流;阿里巴巴概念;融资融券;腾讯概念;转融券标的;新零售;网络直播;电子商务;富时罗素概念股;标普道琼斯A股;消费金融;MSCI概念;三胎概念;大消费;证金持股
10,金诚信,有色金属-工业金属-铜,3.897,磷化工;中非合作;黄金概念;稀有金属;金属铜;融资融券;转融券标的;白银
11,恒林股份,轻工制造-家用轻工-家具,3.854,小米概念;人民币贬值受益;精装修;跨境电商
12,铖昌科技,国防军工-国防军工-军工电子,3.406,核准制次新股;专精特新;军工;氮化镓;芯片概念;新股与次新股;集成电路概念;共同富裕示范区;第三代半导体;雷达;军民融合;卫星导航;国产替代;射频器;砷化镓;杭州湾大湾区;芯片设计;5G;遥感技术;基站射频;融资融券;转融券标的
13,淳中科技,计算机-计算机设备-计算机设备Ⅲ,3.150,安防;军工;超清视频;芯片概念;航空航天;智慧城市
