,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,富乐德,电子-半导体及元件-半导体设备,11.639,芯片概念;注册制次新股;转融券标的;新股与次新股;融资融券;中芯国际概念;深股通
1,鼎捷软件,计算机-计算机应用-软件开发,11.531,大数据;工业4.0;人工智能;工业互联网;融资融券;新零售;云计算;国产软件;转融券标的;C2M概念;富士康概念;透明工厂;台湾概念股;智能制造;华为概念;股权转让;数字经济;华为鲲鹏
2,浪潮软件,计算机-计算机应用-IT服务,10.03,电子信息;融资融券;转融券标的;大数据;工业互联网;国产软件;边缘计算;富时罗素概念;富时罗素概念股;标普道琼斯A股;数字中国;国资云;信创;智慧政务;地方国企改革;山东国企改革;国企改革;年报预增
3,中润资源,有色金属-贵金属-贵金属Ⅲ,10.026,融资融券;转融券标的;物业管理;人民币贬值受益;黄金概念
4,铁科轨道,交运设备-非汽车交运-轨交设备,9.123,融资融券;转融券标的;高铁;一带一路;央企国企改革;国企改革
5,盛达资源,有色金属-工业金属-铅锌,8.216,参股民营银行;深股通;文化传媒;小金属概念;白银;融资融券;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股;金属锌;金属镍;黄金概念;金属锰
6,三人行,传媒-传媒-广告营销,7.982,数字营销;大数据;参股券商;沪股通;富时罗素概念
7,海创药业,医药生物-化学制药-化学制剂,7.794,科创次新股;新股与次新股;融资融券;新冠治疗;转融券标的;生物医药;创新药
8,寒武纪,电子-半导体及元件-集成电路设计,7.423,融资融券;转融券标的;芯片概念;人工智能;阿里巴巴概念;国产操作系统;边缘计算;MSCI概念;东数西算（算力）;先进封装（Chiplet）;沪股通
9,光云科技,计算机-计算机应用-IT服务,7.013,融资融券;转融券标的;国产软件;阿里巴巴概念;电子商务;人工智能;抖音概念;拼多多概念;SAAS;云办公;云计算;数字经济;ChatGPT概念
10,剑桥科技,通信-通信设备-通信终端及配件,6.835,宽带中国;物联网;智能家居;5G;工业互联网;新基建;边缘计算;华为概念;融资融券;转融券标的;人民币贬值受益;F5G概念;年报预增;共封装光学（CPO）;WiFi 6
11,深桑达A,建筑装饰-建筑装饰-专业工程,6.431,高铁;节能照明;电子信息;安防;智慧城市;柔性屏;深股通;生物安全;大数据;国资云;智慧党建;方舱医院;数字经济;数字乡村;智能交通;数据中心;碳中和;粤港澳大湾区;绿色电力;数据安全;智慧政务;国产操作系统;数字孪生;体育产业;融资融券;转融券标的;元宇宙;信创;轨道交通;地方国企改革;央企国企改革;国企改革;数据确权
12,嘉友国际,交通运输-物流-物流Ⅲ,6.395,一带一路;航运港口;中非合作;中俄贸易概念;标普道琼斯A股;北京自贸区;统一大市场;冷链物流;融资融券;转融券标的;年报预增;沪股通
13,国脉文化,传媒-传媒-广告营销,6.229,在线旅游;阿里巴巴概念;IP概念;电子信息;电子商务;易信;王者荣耀;网络视频;融资融券;数字阅读;转融券标的;文化传媒;电信业整合;手机游戏;旅游;云游戏;虚拟现实;华为概念;富媒体;元宇宙;NFT概念;虚拟数字人;数字经济;数字孪生;在线教育;地方国企改革;央企国企改革;国企改革;沪股通
14,盛天网络,传媒-传媒-游戏,6.178,网络游戏;手机游戏;独角兽概念;VPN;云游戏;电子竞技;云计算;广告营销;快手概念;创投;文化传媒;元宇宙;东数西算（算力）;大数据;年报预增
15,佰维存储,电子-半导体及元件-集成电路设计,5.766,转融券标的;先进封装（Chiplet）;科创次新股;国家大基金持股;芯片概念;新股与次新股;融资融券;数据存储;信创;专精特新;汽车芯片;消费电子概念;数据中心
16,太极股份,计算机-计算机应用-IT服务,5.722,大数据反恐;网约车;阿里巴巴概念;电子信息;智能终端;融资融券;深股通;转融券标的;智慧城市;云计算;大数据;态势感知;工业互联网;MSCI概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;数字中国;华为概念;网络安全;智慧政务;国资云;华为鲲鹏;国产操作系统;数据中心;数字经济;雄安新区;数据存储;信创;数字乡村;中国电科系;地方国企改革;央企国企改革;国企改革
