,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,博汇科技,计算机-计算机应用-IT服务,20.007,融资融券;转融券标的;云计算;人工智能;大数据;文化传媒;国产软件;超清视频;在线教育;数字孪生;信创;冬奥会
1,当虹科技,计算机-计算机应用-IT服务,20.0,融资融券;超清视频;云计算;人工智能;人脸识别;转融券标的;虚拟现实;安防;元宇宙;web3.0;世界杯;AIGC概念;专精特新;信创;冬奥会;华为欧拉;虚拟数字人;IPV6
2,浩瀚深度,通信-通信设备-其他通信设备,19.738,转融券标的;网络安全;新股与次新股;科创次新股;融资融券
3,震有科技,通信-通信设备-其他通信设备,13.677,融资融券;转融券标的;5G;智慧城市;军工;卫星导航
4,九牧王,纺织服装-服装家纺-服装,10.044,电子商务;融资融券;转融券标的
5,中国联通,通信-通信服务-通信服务Ⅲ,10.038,移动支付;智能家居;央企控股;通信基站;宽带中国;联通混改;融资融券;区块链;沪股通;区块链应用;大数据;物联网;转融券标的;5G运营商;物联网平台层;物联网传输层;电信业整合;5G;富时罗素概念股;空铁WIFI;标普道琼斯A股;量子科技;MSCI概念;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革;国资云;数据安全
6,华脉科技,通信-通信设备-通信线缆及配套,10.008,光纤光缆;融资融券;转融券标的;物联网;边缘计算;WiFi 6;数据中心;5G;F5G概念;人工智能
7,浪潮信息,计算机-计算机设备-计算机设备Ⅲ,9.949,两会;OGS触控屏;军工;IPV6;智能路由器;国产软件;国产替代;超级计算机;透明计算;数据存储;融资融券;显卡;深股通;转融券标的;GPU;人工智能;智慧城市;机器学习;美团概念股;网易概念;边缘计算;数据中心;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;国产操作系统;东数西算（算力）;国资云;抖音概念;云计算;电子信息;元宇宙;信创;AIGC概念;地方国企改革;山东国企改革;国企改革;百度概念
8,神州泰岳,传媒-传媒-游戏,9.736,职业教育;电子信息;在线教育;融资融券;机器人概念;深股通;5G;转融券标的;服务机器人;区块链应用;征信;大数据;手机游戏;工业互联网;人工智能;物联网;区块链;态势感知;网络安全;密码安全管理;智慧城市;富时罗素概念;富时罗素概念股;富媒体;电力物联网;华为概念;IPV6;智能电网;人脸识别;创投;边缘计算;数字孪生;智慧政务;数据安全;乡村振兴;数字经济;人民币贬值受益;AIGC概念;ChatGPT概念;信创
9,云赛智联,计算机-计算机应用-软件开发,8.569,云计算;安防;老八股;PPP概念;智慧城市;国产软件;融资融券;军工;转融券标的;食品安全;智慧政务;数据中心;疫情监测;雷达;信创;上海国企改革;地方国企改革;国企改革;国资云;数字经济
10,中国电信,通信-通信服务-通信服务Ⅲ,8.547,5G运营商;云计算;宽带中国;数据中心;物联网;大数据;5G;沪股通;网络电视;融资融券;转融券标的;地方国企改革;央企国企改革;中字头股票;国企改革;国资云;6G概念
11,太辰光,通信-通信设备-通信网络设备及器件,8.428,人民币贬值受益;光纤;5G;芯片概念;年报预增
12,寒武纪,电子-半导体及元件-集成电路设计,7.896,融资融券;转融券标的;芯片概念;人工智能;阿里巴巴概念;国产操作系统;边缘计算;MSCI概念;东数西算（算力）;先进封装（Chiplet）
13,劲仔食品,食品饮料-食品加工制造-休闲食品,7.636,休闲零食;抖音小店;一带一路;电子商务;社区团购;网络直播
14,铁建重工,机械设备-专用设备-工程机械,7.174,高端装备;磁悬浮;融资融券;抽水蓄能;转融券标的;央企国企改革;地方国企改革;国企改革
15,太极股份,计算机-计算机应用-IT服务,7.063,大数据反恐;网约车;阿里巴巴概念;电子信息;智能终端;融资融券;深股通;转融券标的;智慧城市;云计算;大数据;态势感知;工业互联网;MSCI概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;数字中国;华为概念;网络安全;智慧政务;国资云;华为鲲鹏;国产操作系统;数据中心;数字经济;雄安新区;数据存储;信创;数字乡村;中国电科系;地方国企改革;央企国企改革;国企改革
16,剑桥科技,通信-通信设备-通信终端及配件,7.035,宽带中国;物联网;智能家居;5G;工业互联网;新基建;边缘计算;华为概念;融资融券;转融券标的;人民币贬值受益;F5G概念;年报预增;共封装光学（CPO）
17,九芝堂,医药生物-中药-中药Ⅲ,6.375,老字号;融资融券;深股通;转融券标的;中医药;富时罗素概念;富时罗素概念股;标普道琼斯A股;医保目录;干细胞;毛发医疗;新冠治疗;医药电商
18,紫光股份,计算机-计算机应用-IT服务,6.26,IPV6;TMT;智能路由器;融资租赁;人工智能;国产替代;智能交通;超级计算机;参股新三板;癌症定量检测;电子信息;电子书;融资融券;AI芯片;深股通;5G主设备;转融券标的;物联网平台层;物联网;大数据;态势感知;富时罗素概念;富时罗素概念股;网络切片;标普道琼斯A股;紫光系;国产操作系统;机器人概念;芯片概念;网络安全;WiFi 6;东数西算（算力）;国资云;5G;MSCI概念;云计算;养老金持股;冬奥会;共封装光学（CPO）
19,中国卫通,国防军工-国防军工-航天装备,6.195,一带一路;军工;富时罗素概念;融资融券;转融券标的;富时罗素概念股;冬奥会;地方国企改革;央企国企改革;中字头股票;国企改革;6G概念
20,中科曙光,计算机-计算机设备-计算机设备Ⅲ,6.186,腾讯概念;透明计算;虚拟机器人;雄安新区;沪股通;AI芯片;云计算;芯片概念;参股新三板;人工智能;超级计算机;网络安全;创投;融资融券;大数据;边缘计算;VPN;中科院系;转融券标的;GPU;寒武纪概念;数据中心;富时罗素概念;富时罗素概念股;标普道琼斯A股;量子科技;数字孪生;东数西算（算力）;工业互联网;区块链;智慧城市;国产操作系统;国产软件;信创;央企国企改革;中字头股票;web3.0;国企改革;百度概念
21,新国都,计算机-计算机设备-计算机设备Ⅲ,6.108,移动金融;银联;NFC;指纹技术;电子信息;互联网银行;微信概念;区块链应用;物联网应用层;物联网;征信;大数据;移动支付;腾讯概念;融资融券;人脸识别;芯片概念;转融券标的;区块链;汽车电子;数字货币;电子身份证;跨境支付（CIPS）;深股通;人工智能;AIGC概念
22,海能达,通信-通信设备-通信网络设备及器件,5.941,安防;电子信息;骨传导;反恐;宽带中国;深股通;专网通信;物联网平台层;物联网;智慧城市;互联网金融;融资融券;区块链;转融券标的;口罩;卫星导航;5G;富时罗素概念;富时罗素概念股;黑洞概念;标普道琼斯A股;汽车电子;俄乌冲突概念;中俄贸易概念;人民币贬值受益
23,航天宏图,国防军工-国防军工-航天装备,5.916,卫星导航;融资融券;转融券标的;军工;华为概念;国产软件;无人机;太空经济;沪股通
24,中新赛克,计算机-计算机设备-计算机设备Ⅲ,5.637,国产软件;大数据;网络安全;国产操作系统;云计算;融资融券;转融券标的;富时罗素概念;工业互联网;富时罗素概念股;标普道琼斯A股;专精特新;数据安全;地方国企改革;广东国企改革;深圳国企改革;国企改革;职业教育
25,金发拉比,纺织服装-服装家纺-服装,5.123,网红经济;家用电器;消毒剂;医美概念;新零售;托育服务;三胎概念;毛发医疗;网络直播
26,中国移动,通信-通信服务-通信服务Ⅲ,4.975,5G;沪股通;元宇宙;世界杯;融资融券;转融券标的;虚拟数字人;超清视频;杭州亚运会;电子竞技;央企国企改革;中字头股票;国企改革;6G概念
27,中国通号,交运设备-非汽车交运-轨交设备,4.501,轨道交通;高铁;融资融券;转融券标的;沪股通;富时罗素概念;华为概念;MSCI概念;中铁系;地方国企改革;央企国企改革;中字头股票;国企改革
28,四川路桥,建筑装饰-建筑装饰-基础建设,3.777,西部开发;成渝特区;石墨烯;成都天府新区;涉矿;融资融券;沪股通;转融券标的;一带一路;正极材料;富时罗素概念;富时罗素概念股;标普道琼斯A股;铁矿石;碳中和;MSCI概念;锂电池;碳交易;PPP概念;地方国企改革;国企改革;年报预增;四川国企改革
29,柳药集团,医药生物-医药商业-医药商业Ⅲ,3.707,互联网医疗;融资融券;转融券标的;富时罗素概念;冷链物流;医药电商;标普道琼斯A股;中医药;辉瑞概念;富时罗素概念股
30,卡莱特,计算机-计算机设备-计算机设备Ⅲ,3.4,节能照明;注册制次新股;转融券标的;新股与次新股;融资融券;超清视频
31,梅安森,机械设备-专用设备-能源及重型设备,3.168,污水处理;PPP概念;工业4.0;乡村振兴;农村环境治理;物联网;智慧城市;创业板重组松绑;透明工厂;工业互联网;华为概念;专精特新
32,吉贝尔,医药生物-化学制药-化学制剂,3.045,融资融券;转融券标的;中医药;生物医药;医保目录;眼科医疗;肝炎概念;创新药;高血压药;熊去氧胆酸
33,中科星图,计算机-计算机应用-IT服务,2.992,融资融券;转融券标的;卫星导航;国产软件;大数据;无人机;军工;沪股通;央企国企改革;中字头股票;国企改革
34,昆药集团,医药生物-中药-中药Ⅲ,2.854,抗癌;融资融券;沪股通;转融券标的;中医药;保健品;富时罗素概念;富时罗素概念股;标普道琼斯A股;医保目录;疟疾;青蒿素;工业大麻;养老金持股;国企改革;央企国企改革
35,盐津铺子,食品饮料-食品加工制造-休闲食品,2.812,电子商务;休闲零食;深股通;富时罗素概念;融资融券;转融券标的;养老金持股;年报预增
36,厦门国贸,交通运输-物流-物流Ⅲ,2.791,互联网期货;食盐;融资融券;沪股通;转融券标的;美团概念股;小额贷款;福建自贸区;期货概念;富时罗素概念;富时罗素概念股;台湾概念股;参股券商;标普道琼斯A股;海峡两岸;中俄贸易概念;统一大市场;地方国企改革;国企改革;参股银行
37,皖通高速,交通运输-公路铁路运输-高速公路,2.628,融资融券;沪股通;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股;地方国企改革;安徽国企改革;国企改革
38,格力电器,家用电器-白色家电-空调,2.534,央视财经50;融资融券;深股通;转融券标的;机器人概念;工业互联网;智能家居;大消费;家用电器;芯片概念;口罩;富时罗素概念;新零售;富时罗素概念股;标普道琼斯A股;同花顺漂亮100;MCU芯片;超级品牌;锂电池;储能;芯片设计;MSCI概念;空气能热泵;证金持股
39,拓维信息,计算机-计算机应用-软件开发,2.43,移动支付;SNS概念;电子商务;电子信息;融资融券;转融券标的;动漫;大数据;边缘计算;云计算;工业互联网;手机游戏;深股通;富时罗素概念;国产操作系统;华为概念;鸿蒙概念;幼儿教育;SAAS;托育服务;三胎概念;东数西算（算力）;国产软件;智能交通;华为鲲鹏;智能制造;物联网;在线教育;人工智能;机器人概念;虚拟数字人;信创;智慧政务
40,章源钨业,有色金属-小金属-其他小金属,2.31,稀有金属;赣南振兴;融资融券;钨;转融券标的;富时罗素概念股;富时罗素概念;小金属概念;深股通;军工
41,招商公路,交通运输-公路铁路运输-高速公路,2.295,公路建设;深股通;富时罗素概念;参股券商;富时罗素概念股;标普道琼斯A股;参股万达商业;光伏概念;地方国企改革;央企国企改革;国企改革
42,箭牌家居,轻工制造-家用轻工-其他家用轻工,2.163,智能家居;核准制次新股;新股与次新股;抖音概念;电子商务;新零售;网络直播;节能环保;华为概念
43,潮宏基,轻工制造-家用轻工-饰品,2.158,奢侈品;黄金概念;小金属概念;网络直播;新零售;电子商务;迪士尼;培育钻石;NFT概念
44,罗牛山,农林牧渔-养殖业-畜禽养殖,2.13,参股新三板;聚土地概念;金改;土地流转;小额贷款;海南旅游岛;土地增值;三沙;生态农业;乡村振兴;深股通;赛马概念;冷链物流;猪肉;农垦改革;融资融券;转融券标的;海南自贸区;富时罗素概念;富时罗素概念股;标普道琼斯A股;参股民营银行;职业教育;统一大市场;养鸡;动物疫苗
45,中兴通讯,通信-通信设备-通信网络设备及器件,2.078,IPV6;网络安全;京东概念;三网融合;电子信息;虚拟现实;国家科技大会;TMT;融资融券;深股通;云计算;5G主设备;宽带中国;转融券标的;人工智能;芯片概念;智能终端;物联网;智慧城市;边缘计算;富时罗素概念;富时罗素概念股;网络切片;标普道琼斯A股;锂电池;新能源汽车;同花顺漂亮100;国产操作系统;富媒体;智能穿戴;虚拟运营商;汽车电子;数字经济;5G;MSCI概念;东数西算（算力）;数据中心;消费电子概念;国产软件;养老金持股;证金持股;6G概念
46,永安行,交运设备-非汽车交运-其他交运设备,2.046,智能交通;共享汽车;共享单车;新能源整车;新能源汽车;物联网;燃料电池;网约车;融资融券;转融券标的;无人驾驶;芯片概念;富时罗素概念股;共享经济;蚂蚁金服概念;氢能源;两轮车;机器人概念
47,中国石化,石油石化-石油加工贸易-石油加工,1.931,央企控股;油气管网;油价上调;融资融券;沪股通;转融券标的;一带一路;聚丙烯;油气开采;页岩气;可燃冰;天然气;富时罗素概念;富时罗素概念股;油品改革;两桶油改革;标普道琼斯A股;氢能源;MSCI概念;证金持股;央企国企改革;地方国企改革;中字头股票;国企改革
48,新化股份,基础化工-化学制品-其他化学制品,1.836,污水处理;消毒剂;集成电路概念;烟草;氢氟酸;磷化工;盐湖提锂;融资融券;转融券标的;年报预增
49,南山智尚,纺织服装-服装家纺-服装,1.648,转融券标的;C2M概念;口罩;中俄贸易概念;新材料概念;军民融合;智能制造;融资融券;抗病毒面料;冬奥会;跨境电商
50,中国中车,交运设备-非汽车交运-轨交设备,1.579,央企控股;雄安交通;融资租赁;参股保险;高铁;联通混改;PPP概念;有轨电车;铁路混改;融资融券;铁路基建;沪股通;电机电控;转融券标的;雄安新区;轨道交通;磁悬浮;高端装备;富时罗素概念;富时罗素概念股;标普道琼斯A股;新能源汽车;IGBT;燃料电池;MSCI概念;一带一路;活性炭;证金持股;地方国企改革;央企国企改革;中字头股票;国企改革;风电
51,徐工机械,机械设备-专用设备-工程机械,1.268,马歇尔计划;高端装备;融资融券;深股通;转融券标的;新能源物流车;军工;工业4.0;工业互联网;机械装备;富时罗素概念;富时罗素概念股;标普道琼斯A股;MSCI概念;一带一路;挖掘机;地方国企改革;国企改革;证金持股
52,电科数字,计算机-计算机应用-IT服务,1.249,电子信息;沪股通;大数据;融资融券;云计算;网络安全;转融券标的;标普道琼斯A股;车联网;华为概念;智能建筑;数据中心;WiFi 6;跨境支付（CIPS）;信创;中国电科系;国产软件;数字乡村;国资云;地方国企改革;央企国企改革;国企改革
53,伟星新材,建筑材料-建筑材料-管材,1.246,新材料概念;融资融券;深股通;地下管网;转融券标的;石墨烯;海绵城市;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;保障房
54,康恩贝,医药生物-中药-中药Ⅲ,0.954,医药电商;养老概念;抗肝癌;抗癌;智能医疗;融资融券;转融券标的;医保目录;中医药;医疗改革;互联网医疗;工业大麻;仿制药;富时罗素概念;富时罗素概念股;眼科医疗;MSCI概念;标普道琼斯A股;幽门螺杆菌概念;股权转让;专精特新;毛发医疗;仿制药一致性评价;创新药;地方国企改革;浙江国企改革;国企改革;蒙脱石散
55,锦盛新材,美容护理-美容护理-化妆品,0.752,化妆护肤品;可降解塑料;人民币贬值受益
56,青岛啤酒,食品饮料-饮料制造-啤酒,0.736,老字号;超级品牌;厄尔尼诺概念;央视财经50;融资融券;沪股通;转融券标的;啤酒概念;新零售;富时罗素概念;富时罗素概念股;标普道琼斯A股;同花顺漂亮100;MSCI概念;大消费;世界杯;证金持股;地方国企改革;国企改革;山东国企改革
57,永和股份,基础化工-化学制品-氟化工,0.465,萤石;氢氟酸;PVDF概念;氟化工概念;环氧丙烷;融资融券;转融券标的
58,交通银行,银行-银行-国有大型银行,0.408,浦东新区;融资融券;沪股通;村镇银行;转融券标的;优先股概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;跨境支付（CIPS）;MSCI概念;证金持股
59,贝斯美,基础化工-化学制品-农药,0.4,共同富裕示范区;新材料概念;人民币贬值受益;年报预增
60,中科信息,计算机-计算机应用-IT服务,0.34,大数据;智能医疗;区块链;密码安全管理;中科院系;烟草;医疗器械概念;华为概念;新型烟草;军工;智慧政务;华为鲲鹏;智能制造;数据中心;智慧城市;数字经济;人脸识别;云计算;人工智能;网络安全;数据安全;图像识别;国产软件;机器视觉;物联网;比亚迪概念;人脑工程;脑科学;信创;机器人概念;中字头股票;数字中国;央企国企改革;国企改革
61,通宝能源,公用事业-电力-火电,0.325,融资融券;转融券标的;证金持股;山西国企改革;地方国企改革;国企改革;年报预增
62,宇通客车,交运设备-汽车整车-商用载客车,0.0,新能源;中原经济区;LNG汽车;校车;汽车制造概念;融资融券;新能源整车;转融券标的;新能源汽车;河南自贸区;燃料电池;无人驾驶;富时罗素概念;富时罗素概念股;标普道琼斯A股;MSCI概念;冷链物流;证金持股;世界杯
63,康辰药业,医药生物-生物制品-其他生物制品,-0.063,知识产权保护;创投;标普道琼斯A股;专精特新;猴痘概念;创新药
64,轻纺城,商贸零售-零售-商业物业经营,-0.206,跨境电商;融资融券;转融券标的;电子商务;创投;地方国企改革;浙江国企改革;国企改革;参股银行;年报预增
65,寿仙谷,医药生物-中药-中药Ⅲ,-0.302,中医药;老字号;保健品;工业大麻;维生素;数字经济
66,艾比森,电子-光学光电子-LED,-0.303,节能照明;创投;超清视频;华为概念;MiniLED;世界杯;年报预增;人民币贬值受益
67,山东高速,交通运输-公路铁路运输-高速公路,-0.333,涉矿;国家科技大会;一带一路;参股券商;融资融券;沪股通;转融券标的;富时罗素概念;富时罗素概念股;标普道琼斯A股;地方国企改革;山东国企改革;国企改革;参股银行
