,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,佳禾食品,食品饮料-食品加工制造-乳品,9.995,代糖概念;大消费;电子商务
1,瑞晨环保,机械设备-通用设备-其他通用设备,7.871,节能环保;新股与次新股;融资融券;转融券标的;注册制次新股
2,四川长虹,家用电器-黑色家电-彩电,6.410,数字电视;OLED;三网融合;网络电视;成渝特区;智能终端;融资融券;区块链应用;转融券标的;人工智能;智能电视;物联网;工业互联网;军民融合;家用电器;军工;超清视频;芯片概念;磁悬浮;网络直播;区块链;TMT;钒电池;机器人概念;虚拟现实;地方国企改革;国企改革;跨境支付（CIPS）;医疗器械概念;大数据;信创;血氧仪;跨境电商;年报预增;毫米波雷达
3,航天科技,交运设备-汽车零部件-汽车零部件Ⅲ,6.232,无人机;阅兵;振兴东北;融资融券;深股通;航天系;航空航天;转融券标的;军民融合;汽车电子;车联网;军工;工业互联网;黑龙江自贸区;物联网;卫星导航;智能电网;富时罗素概念;富时罗素概念股;标普道琼斯A股;无人驾驶;太空经济;传感器;中俄贸易概念;地方国企改革;央企国企改革;国企改革
4,新化股份,基础化工-化学制品-其他化学制品,6.023,污水处理;消毒剂;集成电路概念;烟草;氢氟酸;磷化工;盐湖提锂;融资融券;转融券标的;年报预增
5,多伦科技,计算机-计算机应用-软件开发,5.957,云计算;在线教育;职业教育;智能交通;物联网应用层;物联网感知层;人工智能;卫星导航;无人驾驶;物联网;驾驶培训;芯片概念;滴滴概念股;比亚迪概念;机器视觉;机器人概念;大数据;ChatGPT概念;国产软件
6,永安行,交运设备-非汽车交运-其他交运设备,5.876,智能交通;共享汽车;共享单车;新能源整车;新能源汽车;物联网;燃料电池;网约车;融资融券;转融券标的;无人驾驶;芯片概念;富时罗素概念股;共享经济;蚂蚁金服概念;氢能源;两轮车;机器人概念
7,恒为科技,计算机-计算机设备-计算机设备Ⅲ,5.826,云计算;网络切片;国产软件;网络安全;IPV6;数字孪生;国产操作系统;物联网;国产替代;智慧城市;人工智能;大数据;机器学习;工业4.0;华为概念;数据中心;边缘计算;鸿蒙概念;数据安全;5G主设备;专精特新;东数西算（算力）;5G;能源互联网;工业互联网;智能制造;智能电网;机器人概念;信创;创投;军工;新能源
8,普门科技,医药生物-医疗器械-体外诊断,5.688,医疗器械概念;融资融券;转融券标的;体外诊断;医美概念;新冠检测;猴痘概念;养老金持股;抗原检测
9,赛恩斯,环保-环保-综合环境治理,5.592,转融券标的;新股与次新股;科创次新股;节能环保;融资融券
