,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,万辰生物,农林牧渔-种植业与林业-其他种植业,14.018,农业种植;乡村振兴;融资融券;转融券标的;高送转预期;年报预增
1,凯龙高科,交运设备-汽车零部件-汽车零部件Ⅲ,11.177,融资融券;转融券标的;尾气治理;新能源汽车;国六标准、国六排放、国六;节能环保;汽车热管理;比亚迪概念;国四概念
2,新里程,医药生物-医疗服务-其他医疗服务,10.058,兰新白试验区;单抗;中医药;民营医院;摘帽;融资融券;转融券标的
3,中公高科,建筑装饰-建筑装饰-工程咨询服务,9.997,公路建设;大数据;中字头股票;央企国企改革;国企改革;国资云;数字经济
4,新炬网络,计算机-计算机应用-IT服务,9.994,大数据;国产软件;华为概念;数据中心;信创;上海自贸区;长三角一体化;金融信息服务;数字经济;人工智能
5,嘉友国际,交通运输-物流-物流Ⅲ,9.988,一带一路;航运港口;中非合作;中俄贸易概念;标普道琼斯A股;北京自贸区;统一大市场;冷链物流;融资融券;转融券标的;年报预增
6,欧晶科技,电力设备-电力设备-光伏设备,6.976,光伏概念;核准制次新股;新股与次新股;太阳能;硅能源;年报预增
7,中国海油,石油石化-油气开采及服务-油气开采,5.872,页岩气;核准制次新股;新股与次新股;风电;天然气;一带一路;海上风电;油气开采;融资融券;转融券标的;地方国企改革;央企国企改革;中字头股票;国企改革;沪股通;年报预增
8,中金黄金,有色金属-贵金属-贵金属Ⅲ,3.991,稀缺资源;涉矿;央企控股;融资融券;转融券标的;小金属概念;人民币贬值受益;白银;富时罗素概念;富时罗素概念股;标普道琼斯A股;黄金概念;金属铜;债转股(AMC概念);证金持股;地方国企改革;央企国企改革;中字头股票;国企改革
9,诚意药业,医药生物-化学制药-化学制剂,3.775,抗癌;抗肿瘤;超级真菌;中医药;新冠治疗;医疗器械概念;肝炎概念;流感
10,石化油服,石油石化-油气开采及服务-油服工程,3.211,雄安新区;可燃冰;天然气;页岩气;地热能;沪股通;海工装备;融资融券;转融券标的;富时罗素概念;富时罗素概念股;油品改革;两桶油改革;标普道琼斯A股;碳中和;俄乌冲突概念;地方国企改革;央企国企改革;国企改革;年报预增
11,铁建重工,机械设备-专用设备-工程机械,3.206,高端装备;磁悬浮;融资融券;抽水蓄能;转融券标的;央企国企改革;地方国企改革;国企改革
12,中国石化,石油石化-石油加工贸易-石油加工,3.137,央企控股;油气管网;油价上调;融资融券;沪股通;转融券标的;一带一路;聚丙烯;油气开采;页岩气;可燃冰;天然气;富时罗素概念;富时罗素概念股;油品改革;两桶油改革;标普道琼斯A股;氢能源;MSCI概念;证金持股;央企国企改革;地方国企改革;中字头股票;国企改革
13,天目湖,社会服务-景点及旅游-自然景点,3.122,旅游
14,新化股份,基础化工-化学制品-其他化学制品,2.921,污水处理;消毒剂;集成电路概念;烟草;氢氟酸;磷化工;盐湖提锂;融资融券;转融券标的;年报预增
