,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,欣贺股份,纺织服装-服装家纺-服装,9.991,新零售;电子商务;抗病毒面料
1,山外山,医药生物-医疗器械-医疗设备,8.846,转融券标的;专精特新;医疗器械概念;新股与次新股;科创次新股;融资融券;血液制品;年报预增
2,通宝能源,公用事业-电力-火电,8.588,融资融券;转融券标的;证金持股;山西国企改革;地方国企改革;国企改革;年报预增
3,太极股份,计算机-计算机应用-IT服务,7.953,大数据反恐;电子信息;网约车;阿里巴巴概念;智能终端;融资融券;深股通;转融券标的;智慧城市;云计算;大数据;态势感知;工业互联网;MSCI概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;数字中国;华为概念;网络安全;智慧政务;国资云;华为鲲鹏;国产操作系统;数据中心;数字经济;雄安新区;数据存储;信创;数字乡村;中国电科系;地方国企改革;央企国企改革;国企改革
4,剑桥科技,通信-通信设备-通信终端及配件,7.859,宽带中国;物联网;智能家居;5G;工业互联网;新基建;边缘计算;华为概念;融资融券;转融券标的;人民币贬值受益;F5G概念;年报预增;共封装光学（CPO）
5,电科数字,计算机-计算机应用-IT服务,7.373,电子信息;沪股通;大数据;融资融券;云计算;网络安全;转融券标的;标普道琼斯A股;车联网;华为概念;智能建筑;数据中心;WiFi 6;跨境支付（CIPS）;信创;中国电科系;国产软件;数字乡村;国资云;地方国企改革;央企国企改革;国企改革
6,广誉远,医药生物-中药-中药Ⅲ,7.086,中医药;融资融券;转融券标的;老字号;富时罗素概念股;富时罗素概念;白酒概念;互联网医疗;健康中国;新冠治疗;地方国企改革;国企改革;山西国企改革
7,太辰光,通信-通信设备-通信网络设备及器件,6.398,人民币贬值受益;光纤;5G;芯片概念;年报预增
8,箭牌家居,轻工制造-家用轻工-其他家用轻工,6.216,智能家居;核准制次新股;新股与次新股;抖音概念;电子商务;新零售;网络直播;节能环保;华为概念
9,恩华药业,医药生物-化学制药-化学制剂,6.172,医药电商;互联网医疗;融资融券;深股通;转融券标的;芬太尼;仿制药一致性评价;阿尔茨海默概念;富时罗素概念;富时罗素概念股;标普道琼斯A股;新冠检测;猴痘概念;体外诊断
10,瑞普生物,农林牧渔-农业服务-动物保健,6.167,滨海新区;兽药;西尼罗病毒;霍乱;猪瘟疫情;动物疫苗;饲料;深股通;生物疫苗;禽流感;参股新三板;宠物经济
11,富淼科技,基础化工-化学制品-其他化学制品,6.088,融资融券;转融券标的;污水处理;专精特新;氢能源
12,菲菱科思,通信-通信设备-通信终端及配件,5.995,注册制次新股;融资融券;转融券标的;新股与次新股;数据中心;5G;华为概念;新基建;F5G概念;小米概念;安防;芯片概念
13,百傲化学,基础化工-化学制品-农药,5.817,消毒剂
14,万泽股份,医药生物-生物制品-其他生物制品,5.678,涉矿;生物医药;医保目录;大飞机;航空发动机;军工;融资融券;转融券标的
15,南山智尚,纺织服装-服装家纺-服装,5.464,转融券标的;C2M概念;口罩;中俄贸易概念;新材料概念;军民融合;智能制造;融资融券;抗病毒面料;冬奥会;跨境电商
16,迈得医疗,机械设备-自动化设备-其他自动化设备,5.242,融资融券;转融券标的;医疗器械概念;口罩;高端装备;机器人概念;专精特新
17,健康元,医药生物-化学制药-化学制剂,4.849,腾讯概念;健康中国;互联网银行;参股券商;参股民营银行;融资融券;沪股通;转融券标的;单抗;医疗改革;医保目录;保健品;富时罗素概念;富时罗素概念股;MSCI概念;标普道琼斯A股;新冠检测;猴痘概念;创新药;新冠疫苗;养老金持股;抗原检测
18,普门科技,医药生物-医疗器械-体外诊断,4.818,医疗器械概念;融资融券;转融券标的;体外诊断;医美概念;新冠检测;猴痘概念;养老金持股;抗原检测
19,永安行,交运设备-非汽车交运-其他交运设备,4.725,智能交通;共享汽车;共享单车;新能源整车;新能源汽车;物联网;燃料电池;网约车;融资融券;转融券标的;无人驾驶;芯片概念;富时罗素概念股;共享经济;蚂蚁金服概念;氢能源;两轮车;机器人概念
20,向日葵,医药生物-化学制药-化学制剂,4.408,分布式发电;生物医药;高血压药
21,康辰药业,医药生物-生物制品-其他生物制品,4.351,知识产权保护;创投;标普道琼斯A股;专精特新;猴痘概念;创新药
22,平高电气,电力设备-电力设备-输变电设备,4.038,一带一路;特高压;中原经济区;智能电网;融资融券;转融券标的;充电桩;新基建;富时罗素概念;富时罗素概念股;标普道琼斯A股;柔性直流输电;储能;高端装备;数字孪生;风电;地方国企改革;央企国企改革;国企改革;年报预增
23,品高股份,计算机-计算机应用-IT服务,4.000,国产软件;军工;国产替代;云计算;融资融券;转融券标的;数字经济;信创
24,恒林股份,轻工制造-家用轻工-家具,3.508,小米概念;人民币贬值受益;精装修;跨境电商
25,启明星辰,计算机-计算机应用-软件开发,3.382,云计算;国家科技大会;腾讯概念;电子信息;深股通;转融券标的;智慧城市;美团概念股;军民融合;工业互联网;网络安全;边缘计算;国产软件;大数据;阅兵;VPN;富时罗素概念;富时罗素概念股;黑洞概念;MSCI概念;标普道琼斯A股;车联网;数据安全;数据中心;数字经济;电子身份证;军工;东数西算（算力）;华为概念;华为欧拉;融资融券;信创
26,报喜鸟,纺织服装-服装家纺-服装,3.226,大数据;融资融券;转融券标的;创投;C2M概念;电子商务
27,中兴通讯,通信-通信设备-通信网络设备及器件,3.036,电子信息;IPV6;网络安全;京东概念;三网融合;虚拟现实;国家科技大会;TMT;融资融券;深股通;云计算;5G主设备;宽带中国;转融券标的;人工智能;芯片概念;智能终端;物联网;智慧城市;边缘计算;富时罗素概念;富时罗素概念股;网络切片;标普道琼斯A股;锂电池;新能源汽车;同花顺漂亮100;国产操作系统;富媒体;智能穿戴;虚拟运营商;汽车电子;数字经济;5G;MSCI概念;东数西算（算力）;数据中心;消费电子概念;国产软件;养老金持股;证金持股
28,行动教育,社会服务-教育-教育Ⅲ,2.720,职业教育;在线教育
29,太阳纸业,轻工制造-造纸-造纸Ⅲ,2.703,人民币升值;造纸转暖;融资融券;深股通;转融券标的;纸浆;富时罗素概念;富时罗素概念股;代糖概念;食品包装;MSCI概念;标普道琼斯A股
30,中牧股份,农林牧渔-农业服务-动物保健,2.644,参股保险;兽药;西尼罗病毒;饲料;医保目录;猪瘟疫情;赛马概念;禽流感;流感;动物疫苗;融资融券;转融券标的;分拆上市意愿;地方国企改革;央企国企改革;中字头股票;国企改革
31,贝斯美,基础化工-化学制品-农药,2.627,共同富裕示范区;新材料概念;人民币贬值受益;年报预增
32,厦门国贸,交通运输-物流-物流Ⅲ,2.625,互联网期货;食盐;融资融券;沪股通;转融券标的;美团概念股;小额贷款;福建自贸区;期货概念;富时罗素概念;富时罗素概念股;台湾概念股;参股券商;标普道琼斯A股;海峡两岸;中俄贸易概念;统一大市场;地方国企改革;国企改革;参股银行
33,寿仙谷,医药生物-中药-中药Ⅲ,2.563,中医药;老字号;保健品;工业大麻;维生素;数字经济
34,卡莱特,计算机-计算机设备-计算机设备Ⅲ,2.544,节能照明;注册制次新股;转融券标的;新股与次新股;融资融券;超清视频
35,科前生物,农林牧渔-农业服务-动物保健,2.522,动物疫苗;体外诊断;融资融券;转融券标的;沪股通;宠物经济
36,七匹狼,纺织服装-服装家纺-服装,2.361,互联网保险;融资融券;抗寒;转融券标的;口罩;参股保险;电子商务;证金持股
37,马应龙,医药生物-中药-中药Ⅲ,2.241,医疗改革;老字号;融资融券;医药电商;沪股通;中医药;转融券标的;医保目录;基因测序;民营医院;仿制药一致性评价;化妆护肤品;富时罗素概念;富时罗素概念股;标普道琼斯A股;眼科医疗
38,中国通号,交运设备-非汽车交运-轨交设备,2.200,轨道交通;高铁;融资融券;转融券标的;沪股通;富时罗素概念;华为概念;MSCI概念;中铁系;地方国企改革;央企国企改革;中字头股票;国企改革
39,潮宏基,轻工制造-家用轻工-饰品,2.056,奢侈品;黄金概念;小金属概念;网络直播;新零售;电子商务;迪士尼;培育钻石;NFT概念
40,吉贝尔,医药生物-化学制药-化学制剂,19.992,融资融券;转融券标的;中医药;生物医药;医保目录;眼科医疗;肝炎概念;创新药;高血压药;熊去氧胆酸
41,中科信息,计算机-计算机应用-IT服务,12.095,大数据;智能医疗;区块链;密码安全管理;中科院系;烟草;医疗器械概念;华为概念;新型烟草;军工;智慧政务;华为鲲鹏;智能制造;数据中心;智慧城市;数字经济;人脸识别;云计算;人工智能;网络安全;数据安全;图像识别;国产软件;机器视觉;物联网;比亚迪概念;人脑工程;脑科学;信创;机器人概念;中字头股票;数字中国;央企国企改革;国企改革
42,立方制药,医药生物-化学制药-化学制剂,10.007,医药电商;医保目录;中医药;肝炎概念;眼科医疗;仿制药一致性评价;高血压药
43,佳禾食品,食品饮料-食品加工制造-乳品,1.589,代糖概念;大消费;电子商务
