,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,佐力药业,医药生物-中药-中药Ⅲ,13.241,医疗改革;中医药;生物医药;健康中国;独角兽概念;医保目录;细胞免疫治疗;基因测序;冬虫夏草;共同富裕示范区;股权转让;医药电商;电子商务;网络直播;年报预增;深股通
1,中润资源,有色金属-贵金属-贵金属Ⅲ,10.072,融资融券;转融券标的;物业管理;人民币贬值受益;黄金概念
2,三星新材,家用电器-白色家电-其他白色家电,10.038,共同富裕示范区;光伏玻璃
3,纽威股份,机械设备-通用设备-金属制品,10.031,页岩气;融资融券;转融券标的;氢能源;核电;风电;一带一路;地热能;沪股通
4,九芝堂,医药生物-中药-中药Ⅲ,10.009,老字号;融资融券;深股通;转融券标的;中医药;富时罗素概念;富时罗素概念股;标普道琼斯A股;医保目录;干细胞;毛发医疗;新冠治疗;医药电商
5,中国西电,电力设备-电力设备-输变电设备,10.0,一带一路;融资融券;转融券标的;特高压;新基建;风电;光伏概念;海上风电;高端装备;智能电网;储能;柔性直流输电;工业母机;核电;水利;地方国企改革;央企国企改革;中字头股票;国企改革;沪股通
6,海信家电,家用电器-白色家电-空调,10.0,电子商务;融资融券;深股通;转融券标的;家用电器;富时罗素概念;富时罗素概念股;新能源汽车;标普道琼斯A股;汽车热管理;空气能热泵;世界杯;养老金持股;平安资管持股
7,返利科技,传媒-传媒-数字媒体,9.989,鄱阳湖经济区;电子商务
8,北方国际,建筑装饰-建筑装饰-专业工程,9.977,马歇尔计划;中巴经济走廊;新能源;一带一路;中非合作;人民币贬值受益;富时罗素概念;富时罗素概念股;风电;标普道琼斯A股;中兵系;轨道交通;太阳能;智能物流;超超临界发电;煤炭概念;融资融券;转融券标的;地方国企改革;央企国企改革;深股通;国企改革
9,铁科轨道,交运设备-非汽车交运-轨交设备,9.4,融资融券;转融券标的;高铁;一带一路;央企国企改革;国企改革
10,福晶科技,电子-光学光电子-光学元件,9.305,深紫外光;量子霍尔;激光;融资融券;中科院系;转融券标的;激光器;深股通;华为概念;虚拟现实;元器件;无人驾驶;央企国企改革;国企改革
11,法尔胜,环保-环保-环保设备,7.629,4D打印;融资租赁;京东金融概念;独角兽概念;节能环保
12,龙建股份,建筑装饰-建筑装饰-基础建设,7.4,海绵城市;PPP概念;创投;黑龙江自贸区;一带一路;农村电商;新型城镇化;振兴东北;水利;基建工程;乡村振兴;地方国企改革;国企改革;旅游
13,康恩贝,医药生物-中药-中药Ⅲ,7.143,医药电商;养老概念;抗肝癌;抗癌;智能医疗;融资融券;转融券标的;医保目录;中医药;医疗改革;互联网医疗;工业大麻;仿制药;富时罗素概念;富时罗素概念股;眼科医疗;MSCI概念;标普道琼斯A股;幽门螺杆菌概念;股权转让;专精特新;毛发医疗;仿制药一致性评价;创新药;地方国企改革;浙江国企改革;国企改革;蒙脱石散;沪股通
